field_id,blind_id,present_order,panel,slide,cohort,batch,diet,split,sample_type,x,y,size,score,image,context
sb3057a_f03,sb3057a,2,3,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,40960,36352,512,,images/sb3057a_040960_036352.jpg,context/sb3057a_040960_036352.jpg
sb3057a_f04,sb3057a,2,4,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,13824,30208,512,,images/sb3057a_013824_030208.jpg,context/sb3057a_013824_030208.jpg
sb3057a_f05,sb3057a,2,5,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,11264,18944,512,,images/sb3057a_011264_018944.jpg,context/sb3057a_011264_018944.jpg
sb3057a_f06,sb3057a,2,6,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,59392,27136,512,,images/sb3057a_059392_027136.jpg,context/sb3057a_059392_027136.jpg
sb3057a_f07,sb3057a,2,7,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,18944,37376,512,,images/sb3057a_018944_037376.jpg,context/sb3057a_018944_037376.jpg
sb3057a_f08,sb3057a,2,8,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,46592,3584,512,,images/sb3057a_046592_003584.jpg,context/sb3057a_046592_003584.jpg
sb3057a_f09,sb3057a,2,9,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,14848,12800,512,,images/sb3057a_014848_012800.jpg,context/sb3057a_014848_012800.jpg
sb3057a_f10,sb3057a,2,10,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,43520,15872,512,,images/sb3057a_043520_015872.jpg,context/sb3057a_043520_015872.jpg
sb3057a_f11,sb3057a,2,11,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,39424,35840,512,,images/sb3057a_039424_035840.jpg,context/sb3057a_039424_035840.jpg
sb3057a_f12,sb3057a,2,12,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,39936,17408,512,,images/sb3057a_039936_017408.jpg,context/sb3057a_039936_017408.jpg
sb3057a_f13,sb3057a,2,13,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,44544,1536,512,,images/sb3057a_044544_001536.jpg,context/sb3057a_044544_001536.jpg
sb3057a_f14,sb3057a,2,14,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,44544,17920,512,,images/sb3057a_044544_017920.jpg,context/sb3057a_044544_017920.jpg
sb3057a_f15,sb3057a,2,15,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,58368,32256,512,,images/sb3057a_058368_032256.jpg,context/sb3057a_058368_032256.jpg
sb3057a_f16,sb3057a,2,16,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,19968,20992,512,,images/sb3057a_019968_020992.jpg,context/sb3057a_019968_020992.jpg
sb3057a_f17,sb3057a,2,17,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,repeat,19968,20992,512,,images/sb3057a_019968_020992.jpg,context/sb3057a_019968_020992.jpg
sb3057a_f18,sb3057a,2,18,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,repeat,18944,37376,512,,images/sb3057a_018944_037376.jpg,context/sb3057a_018944_037376.jpg
s88424f_f01,s88424f,3,1,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,5632,7680,512,,images/s88424f_005632_007680.jpg,context/s88424f_005632_007680.jpg
s88424f_f02,s88424f,3,2,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,11264,23552,512,,images/s88424f_011264_023552.jpg,context/s88424f_011264_023552.jpg
s88424f_f03,s88424f,3,3,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,7168,15872,512,,images/s88424f_007168_015872.jpg,context/s88424f_007168_015872.jpg
s88424f_f04,s88424f,3,4,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,17408,18432,512,,images/s88424f_017408_018432.jpg,context/s88424f_017408_018432.jpg
s88424f_f05,s88424f,3,5,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,10752,12800,512,,images/s88424f_010752_012800.jpg,context/s88424f_010752_012800.jpg
s88424f_f06,s88424f,3,6,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,12288,18432,512,,images/s88424f_012288_018432.jpg,context/s88424f_012288_018432.jpg
s88424f_f07,s88424f,3,7,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,10752,24576,512,,images/s88424f_010752_024576.jpg,context/s88424f_010752_024576.jpg
s88424f_f08,s88424f,3,8,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,22528,14336,512,,images/s88424f_022528_014336.jpg,context/s88424f_022528_014336.jpg
s88424f_f09,s88424f,3,9,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,3072,12800,512,,images/s88424f_003072_012800.jpg,context/s88424f_003072_012800.jpg
s88424f_f10,s88424f,3,10,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,9216,9216,512,,images/s88424f_009216_009216.jpg,context/s88424f_009216_009216.jpg
s88424f_f11,s88424f,3,11,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,12288,14848,512,,images/s88424f_012288_014848.jpg,context/s88424f_012288_014848.jpg
s88424f_f12,s88424f,3,12,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,16384,15872,512,,images/s88424f_016384_015872.jpg,context/s88424f_016384_015872.jpg
s88424f_f13,s88424f,3,13,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,22016,7168,512,,images/s88424f_022016_007168.jpg,context/s88424f_022016_007168.jpg
s88424f_f14,s88424f,3,14,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,13312,17920,512,,images/s88424f_013312_017920.jpg,context/s88424f_013312_017920.jpg
s88424f_f15,s88424f,3,15,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,16896,10752,512,,images/s88424f_016896_010752.jpg,context/s88424f_016896_010752.jpg
s88424f_f16,s88424f,3,16,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,uniform,24576,12800,512,,images/s88424f_024576_012800.jpg,context/s88424f_024576_012800.jpg
s88424f_f17,s88424f,3,17,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,repeat,7168,15872,512,,images/s88424f_007168_015872.jpg,context/s88424f_007168_015872.jpg
s88424f_f18,s88424f,3,18,R25-151_17_HE,unknown,2025-04-29HE,unknown,train,repeat,3072,12800,512,,images/s88424f_003072_012800.jpg,context/s88424f_003072_012800.jpg
s3c7488_f01,s3c7488,4,1,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,15872,9216,512,,images/s3c7488_015872_009216.jpg,context/s3c7488_015872_009216.jpg
s3c7488_f02,s3c7488,4,2,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,28160,18432,512,,images/s3c7488_028160_018432.jpg,context/s3c7488_028160_018432.jpg
s3c7488_f03,s3c7488,4,3,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,3072,7168,512,,images/s3c7488_003072_007168.jpg,context/s3c7488_003072_007168.jpg
s3c7488_f04,s3c7488,4,4,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,39424,22016,512,,images/s3c7488_039424_022016.jpg,context/s3c7488_039424_022016.jpg
s3c7488_f05,s3c7488,4,5,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,31232,11264,512,,images/s3c7488_031232_011264.jpg,context/s3c7488_031232_011264.jpg
s3c7488_f06,s3c7488,4,6,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,35840,22528,512,,images/s3c7488_035840_022528.jpg,context/s3c7488_035840_022528.jpg
s3c7488_f07,s3c7488,4,7,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,24576,16384,512,,images/s3c7488_024576_016384.jpg,context/s3c7488_024576_016384.jpg
s3c7488_f08,s3c7488,4,8,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,10752,27136,512,,images/s3c7488_010752_027136.jpg,context/s3c7488_010752_027136.jpg
s3c7488_f09,s3c7488,4,9,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,28160,8192,512,,images/s3c7488_028160_008192.jpg,context/s3c7488_028160_008192.jpg
s3c7488_f10,s3c7488,4,10,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,11264,6656,512,,images/s3c7488_011264_006656.jpg,context/s3c7488_011264_006656.jpg
s3c7488_f11,s3c7488,4,11,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,49664,19456,512,,images/s3c7488_049664_019456.jpg,context/s3c7488_049664_019456.jpg
s3c7488_f12,s3c7488,4,12,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,43520,10240,512,,images/s3c7488_043520_010240.jpg,context/s3c7488_043520_010240.jpg
s3c7488_f13,s3c7488,4,13,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,39936,19456,512,,images/s3c7488_039936_019456.jpg,context/s3c7488_039936_019456.jpg
s3c7488_f14,s3c7488,4,14,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,24064,17408,512,,images/s3c7488_024064_017408.jpg,context/s3c7488_024064_017408.jpg
s3c7488_f15,s3c7488,4,15,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,24576,19456,512,,images/s3c7488_024576_019456.jpg,context/s3c7488_024576_019456.jpg
s3c7488_f16,s3c7488,4,16,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,uniform,35328,10240,512,,images/s3c7488_035328_010240.jpg,context/s3c7488_035328_010240.jpg
s3c7488_f17,s3c7488,4,17,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,repeat,43520,10240,512,,images/s3c7488_043520_010240.jpg,context/s3c7488_043520_010240.jpg
s3c7488_f18,s3c7488,4,18,R25-223-4_HE,unknown,2025-07-09_Evelyn_HE,unknown,train,repeat,24064,17408,512,,images/s3c7488_024064_017408.jpg,context/s3c7488_024064_017408.jpg
s3800fd_f01,s3800fd,5,1,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,29184,16384,512,,images/s3800fd_029184_016384.jpg,context/s3800fd_029184_016384.jpg
s3800fd_f02,s3800fd,5,2,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,35840,17920,512,,images/s3800fd_035840_017920.jpg,context/s3800fd_035840_017920.jpg
s3800fd_f03,s3800fd,5,3,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,18944,14848,512,,images/s3800fd_018944_014848.jpg,context/s3800fd_018944_014848.jpg
s3800fd_f04,s3800fd,5,4,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,11776,24576,512,,images/s3800fd_011776_024576.jpg,context/s3800fd_011776_024576.jpg
s3800fd_f05,s3800fd,5,5,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,28672,18432,512,,images/s3800fd_028672_018432.jpg,context/s3800fd_028672_018432.jpg
s3800fd_f06,s3800fd,5,6,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,14848,4608,512,,images/s3800fd_014848_004608.jpg,context/s3800fd_014848_004608.jpg
s3800fd_f07,s3800fd,5,7,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,7680,27648,512,,images/s3800fd_007680_027648.jpg,context/s3800fd_007680_027648.jpg
s3800fd_f08,s3800fd,5,8,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,11264,27136,512,,images/s3800fd_011264_027136.jpg,context/s3800fd_011264_027136.jpg
s3800fd_f09,s3800fd,5,9,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,16896,3584,512,,images/s3800fd_016896_003584.jpg,context/s3800fd_016896_003584.jpg
s3800fd_f10,s3800fd,5,10,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,29696,14848,512,,images/s3800fd_029696_014848.jpg,context/s3800fd_029696_014848.jpg
s3800fd_f11,s3800fd,5,11,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,26112,16384,512,,images/s3800fd_026112_016384.jpg,context/s3800fd_026112_016384.jpg
s3800fd_f12,s3800fd,5,12,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,14336,13824,512,,images/s3800fd_014336_013824.jpg,context/s3800fd_014336_013824.jpg
s3800fd_f13,s3800fd,5,13,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,17920,16384,512,,images/s3800fd_017920_016384.jpg,context/s3800fd_017920_016384.jpg
s3800fd_f14,s3800fd,5,14,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,15360,10240,512,,images/s3800fd_015360_010240.jpg,context/s3800fd_015360_010240.jpg
s3800fd_f15,s3800fd,5,15,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,12288,9728,512,,images/s3800fd_012288_009728.jpg,context/s3800fd_012288_009728.jpg
s3800fd_f16,s3800fd,5,16,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,uniform,32768,16384,512,,images/s3800fd_032768_016384.jpg,context/s3800fd_032768_016384.jpg
s3800fd_f17,s3800fd,5,17,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,repeat,32768,16384,512,,images/s3800fd_032768_016384.jpg,context/s3800fd_032768_016384.jpg
s3800fd_f18,s3800fd,5,18,R22--063-5_HE,unknown,2025-09-24HE,unknown,train,repeat,35840,17920,512,,images/s3800fd_035840_017920.jpg,context/s3800fd_035840_017920.jpg
s5360e6_f01,s5360e6,6,1,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,8704,14848,512,3.2854321245546037,images/s5360e6_008704_014848.jpg,context/s5360e6_008704_014848.jpg
s5360e6_f02,s5360e6,6,2,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,20992,14336,512,1.238329229716375,images/s5360e6_020992_014336.jpg,context/s5360e6_020992_014336.jpg
s5360e6_f03,s5360e6,6,3,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,27136,13824,512,1.2749301291029538,images/s5360e6_027136_013824.jpg,context/s5360e6_027136_013824.jpg
s5360e6_f04,s5360e6,6,4,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,20992,16384,512,2.942950965269055,images/s5360e6_020992_016384.jpg,context/s5360e6_020992_016384.jpg
s5360e6_f05,s5360e6,6,5,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,27136,14336,512,2.3396728528903985,images/s5360e6_027136_014336.jpg,context/s5360e6_027136_014336.jpg
s5360e6_f06,s5360e6,6,6,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,7168,16384,512,4.540708497013303,images/s5360e6_007168_016384.jpg,context/s5360e6_007168_016384.jpg
s5360e6_f07,s5360e6,6,7,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,15360,13824,512,3.8656377025839497,images/s5360e6_015360_013824.jpg,context/s5360e6_015360_013824.jpg
s5360e6_f08,s5360e6,6,8,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,19456,14848,512,3.798140551865874,images/s5360e6_019456_014848.jpg,context/s5360e6_019456_014848.jpg
s5360e6_f09,s5360e6,6,9,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,32768,13824,512,2.909975246340432,images/s5360e6_032768_013824.jpg,context/s5360e6_032768_013824.jpg
s5360e6_f10,s5360e6,6,10,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,28672,13824,512,3.5224364794308407,images/s5360e6_028672_013824.jpg,context/s5360e6_028672_013824.jpg
s5360e6_f11,s5360e6,6,11,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,19968,16384,512,3.820794031164666,images/s5360e6_019968_016384.jpg,context/s5360e6_019968_016384.jpg
s5360e6_f12,s5360e6,6,12,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,12800,13824,512,2.9908463100963116,images/s5360e6_012800_013824.jpg,context/s5360e6_012800_013824.jpg
s5360e6_f13,s5360e6,6,13,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,12288,16384,512,-0.4800224754828492,images/s5360e6_012288_016384.jpg,context/s5360e6_012288_016384.jpg
s5360e6_f14,s5360e6,6,14,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,17408,13824,512,8.771306036716068,images/s5360e6_017408_013824.jpg,context/s5360e6_017408_013824.jpg
s5360e6_f15,s5360e6,6,15,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,15872,15872,512,2.8500898213532673,images/s5360e6_015872_015872.jpg,context/s5360e6_015872_015872.jpg
s5360e6_f16,s5360e6,6,16,R25-345-17,unknown,2025-11-14HE,unknown,train,uniform,11264,16384,512,2.2192560504040615,images/s5360e6_011264_016384.jpg,context/s5360e6_011264_016384.jpg
s5360e6_f17,s5360e6,6,17,R25-345-17,unknown,2025-11-14HE,unknown,train,repeat,12800,13824,512,2.9908463100963116,images/s5360e6_012800_013824.jpg,context/s5360e6_012800_013824.jpg
s5360e6_f18,s5360e6,6,18,R25-345-17,unknown,2025-11-14HE,unknown,train,repeat,20992,14336,512,1.238329229716375,images/s5360e6_020992_014336.jpg,context/s5360e6_020992_014336.jpg
sb4b2e5_f01,sb4b2e5,7,1,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,25088,24064,512,,images/sb4b2e5_025088_024064.jpg,context/sb4b2e5_025088_024064.jpg
sb4b2e5_f02,sb4b2e5,7,2,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,13312,13312,512,,images/sb4b2e5_013312_013312.jpg,context/sb4b2e5_013312_013312.jpg
sb4b2e5_f03,sb4b2e5,7,3,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,30720,31232,512,,images/sb4b2e5_030720_031232.jpg,context/sb4b2e5_030720_031232.jpg
sb4b2e5_f04,sb4b2e5,7,4,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,10240,18944,512,,images/sb4b2e5_010240_018944.jpg,context/sb4b2e5_010240_018944.jpg
sb4b2e5_f05,sb4b2e5,7,5,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,34304,18432,512,,images/sb4b2e5_034304_018432.jpg,context/sb4b2e5_034304_018432.jpg
sb4b2e5_f06,sb4b2e5,7,6,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,24576,26624,512,,images/sb4b2e5_024576_026624.jpg,context/sb4b2e5_024576_026624.jpg
sb4b2e5_f07,sb4b2e5,7,7,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,2560,12800,512,,images/sb4b2e5_002560_012800.jpg,context/sb4b2e5_002560_012800.jpg
sb4b2e5_f08,sb4b2e5,7,8,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,14848,2560,512,,images/sb4b2e5_014848_002560.jpg,context/sb4b2e5_014848_002560.jpg
sb4b2e5_f09,sb4b2e5,7,9,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,38400,19968,512,,images/sb4b2e5_038400_019968.jpg,context/sb4b2e5_038400_019968.jpg
sb4b2e5_f10,sb4b2e5,7,10,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,22528,18944,512,,images/sb4b2e5_022528_018944.jpg,context/sb4b2e5_022528_018944.jpg
sb4b2e5_f11,sb4b2e5,7,11,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,10752,11776,512,,images/sb4b2e5_010752_011776.jpg,context/sb4b2e5_010752_011776.jpg
sb4b2e5_f12,sb4b2e5,7,12,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,40448,24064,512,,images/sb4b2e5_040448_024064.jpg,context/sb4b2e5_040448_024064.jpg
sb4b2e5_f13,sb4b2e5,7,13,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,16384,13824,512,,images/sb4b2e5_016384_013824.jpg,context/sb4b2e5_016384_013824.jpg
sb4b2e5_f14,sb4b2e5,7,14,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,27648,17408,512,,images/sb4b2e5_027648_017408.jpg,context/sb4b2e5_027648_017408.jpg
sb4b2e5_f15,sb4b2e5,7,15,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,36352,26624,512,,images/sb4b2e5_036352_026624.jpg,context/sb4b2e5_036352_026624.jpg
sb4b2e5_f16,sb4b2e5,7,16,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,uniform,38400,26624,512,,images/sb4b2e5_038400_026624.jpg,context/sb4b2e5_038400_026624.jpg
sb4b2e5_f17,sb4b2e5,7,17,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,repeat,38400,19968,512,,images/sb4b2e5_038400_019968.jpg,context/sb4b2e5_038400_019968.jpg
sb4b2e5_f18,sb4b2e5,7,18,R26-041-12,unknown,P273-2026-02-13_Christina HE,unknown,train,repeat,13312,13312,512,,images/sb4b2e5_013312_013312.jpg,context/sb4b2e5_013312_013312.jpg
s2e8cbe_f01,s2e8cbe,8,1,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,13824,7168,512,1.5574276129094229,images/s2e8cbe_013824_007168.jpg,context/s2e8cbe_013824_007168.jpg
s2e8cbe_f02,s2e8cbe,8,2,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,17408,19968,512,-1.3819691704065928,images/s2e8cbe_017408_019968.jpg,context/s2e8cbe_017408_019968.jpg
s2e8cbe_f03,s2e8cbe,8,3,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,31232,18432,512,2.941331226762733,images/s2e8cbe_031232_018432.jpg,context/s2e8cbe_031232_018432.jpg
s2e8cbe_f04,s2e8cbe,8,4,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,14336,15872,512,1.451190309916302,images/s2e8cbe_014336_015872.jpg,context/s2e8cbe_014336_015872.jpg
s2e8cbe_f05,s2e8cbe,8,5,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,30720,7168,512,2.1219424421669895,images/s2e8cbe_030720_007168.jpg,context/s2e8cbe_030720_007168.jpg
s2e8cbe_f06,s2e8cbe,8,6,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,26112,17920,512,2.108040950917146,images/s2e8cbe_026112_017920.jpg,context/s2e8cbe_026112_017920.jpg
s2e8cbe_f07,s2e8cbe,8,7,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,10752,18944,512,0.3597364615363406,images/s2e8cbe_010752_018944.jpg,context/s2e8cbe_010752_018944.jpg
s2e8cbe_f08,s2e8cbe,8,8,R25-264-33,MASH,2025-08-25HE,unknown,train,uniform,18944,19456,512,2.112185868372932,images/s2e8cbe_018944_019456.jpg,context/s2e8cbe_018944_019456.jpg
