tile_id,slide,cohort,diet,batch,split,band,score,score_pct,n_scored_cells,x,y,size,tissue_fraction,dup_of,order
R25-264-13_x025600_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,mid,0.8096,39.62,1,25600,19456,512,1.0,,77
R25-264-32_x029184_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,3.3643,82.68,2,29184,19456,512,1.0,,78
R25-264-12_x019456_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,mid,0.9087,56.25,1,19456,15360,512,1.0,,79
R26-122-23_HE_91_x016384_y015872,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.7474,92.1,21,16384,15872,512,1.0,,80
R26-122-36_HE_95_x026624_y013312,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,4.6085,50.91,24,26624,13312,512,1.0,,81
R26-122-23_HE_91_x010752_y015872,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,low,3.612,11.68,19,10752,15872,512,1.0,,82
R25-264-11_x004608_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,5.209,89.57,2,4608,10752,512,1.0,,83
R25-264-37_x036864_y008704,R25-264-37,MASH,unknown,2025-08-25HE,train,mid,2.5575,42.71,7,36864,8704,512,0.8742,,84
R25-264-33_x031232_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,upper,4.0197,76.54,2,31232,17920,512,1.0,,85
R25-264-32_x023552_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,high,5.7022,96.06,3,23552,19456,512,1.0,,86
R25-264-37_x032768_y007680,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.8418,82.29,5,32768,7680,512,1.0,,87
R25-264-12_x043008_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,mid,0.9216,58.04,1,43008,14336,512,1.0,,88
R25-264-33_x027648_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.0873,90.12,5,27648,17920,512,1.0,,89
R25-264-12_x026112_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,-2.2077,13.39,1,26112,15360,512,1.0,,90
R25-264-33_x029696_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,high,7.0689,98.15,4,29696,17920,512,1.0,,91
R25-264-13_x027648_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,3.5921,88.68,4,27648,18944,512,1.0,,92
R25-264-34_x013312_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,1.1204,43.98,3,13312,10240,512,1.0,,93
R26-122-2_HE_71_x010240_y010240,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,4.174,26.33,25,10240,10240,512,1.0,,94
R25-264-1_x005632_y022528,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,1.8301,73.58,6,5632,22528,512,1.0,,95
R25-264-12_x017408_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,low,,0.0,0,17408,14848,512,1.0,,96
R25-264-32_x018944_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,3.7169,88.19,3,18944,19968,512,1.0,,97
R25-264-11_x021504_y010240,R25-264-11,MASH,unknown,2025-08-25HE,train,high,6.3964,95.09,2,21504,10240,512,0.9082,,98
R26-122-10_HE_79_x003072_y010752,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,4.3292,53.4,24,3072,10752,512,1.0,,99
R25-264-31_x033792_y015360,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,3.9355,79.74,3,33792,15360,512,1.0,,100
R25-264-31_x009216_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,4.3413,83.66,2,9216,15872,512,1.0,,101
R25-264-31_x011776_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,low,-0.0247,13.73,1,11776,16384,512,1.0,,102
R25-264-12_x013824_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,1.4157,70.54,1,13824,14848,512,1.0,,103
R25-264-37_x035840_y007168,R25-264-37,MASH,unknown,2025-08-25HE,train,low,1.5823,24.48,6,35840,7168,512,1.0,,104
R25-264-1_x025088_y023040,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,-3.3473,6.5,1,25088,23040,512,1.0,,105
R25-264-12_x008704_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,mid,1.1404,65.18,2,8704,15360,512,1.0,,106
R25-264-31_x017408_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,17408,15872,512,1.0,,107
R25-264-11_x008704_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,,0.0,0,8704,10752,512,1.0,,108
R25-264-34_x014848_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,0.5479,31.93,2,14848,10752,512,1.0,,109
R26-122-36_HE_95_x027136_y011264,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.5886,96.73,17,27136,11264,512,1.0,,110
R25-264-11_x003584_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,low,,0.0,0,3584,11264,512,1.0,,111
R25-264-13_x014336_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,3.5319,87.42,6,14336,19456,512,1.0,,112
R25-264-13_x048640_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,0.1877,30.19,2,48640,18432,512,1.0,,113
R25-264-31_x005632_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,mid,1.2252,30.72,3,5632,15872,512,1.0,,114
R25-264-33_x019456_y018944,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,4.5262,83.33,1,19456,18944,512,1.0,,115
R25-264-33_x026112_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,mid,2.108,38.89,1,26112,17920,512,0.9486,,116
R25-264-13_x025600_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,2.6741,71.07,2,25600,18432,512,1.0,,117
R25-264-33_x012288_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,low,,0.0,0,12288,17920,512,1.0,,118
R25-264-31_x010240_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,3.2981,70.59,2,10240,15872,512,1.0,,119
R25-264-34_x033280_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,3.0282,84.34,5,33280,10240,512,1.0,,120
R26-122-17_HE_101_x016896_y019456,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.8047,93.12,20,16896,19456,512,1.0,,121
R25-264-32_x009728_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,low,,0.0,0,9728,19456,512,1.0,,122
R25-264-1_x030208_y020992,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,0.0661,42.68,6,30208,20992,512,1.0,,123
R25-264-11_x019968_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,high,7.3118,96.93,6,19968,10752,512,1.0,,124
R25-264-1_x024576_y020480,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,1.2405,65.45,4,24576,20480,512,1.0,,125
R25-264-13_x029696_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,low,-0.632,18.87,3,29696,18944,512,1.0,,126
R25-264-13_x010752_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,low,,0.0,0,10752,18944,512,1.0,,127
R25-264-1_x018432_y020992,R25-264-1,MASH,unknown,2025-08-25HE,train,high,5.5133,98.78,3,18432,20992,512,1.0,,128
R25-264-12_x024064_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,low,,0.0,0,24064,14336,512,1.0,,129
R25-264-13_x034816_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,low,-0.0583,24.53,4,34816,18944,512,1.0,,130
R26-122-2_HE_71_x005120_y010240,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.3537,94.31,33,5120,10240,512,1.0,,131
R25-264-11_x012800_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,low,0.6236,27.61,1,12800,11264,512,1.0,,132
R26-122-10_HE_79_x012800_y010752,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,low,2.1468,6.46,19,12800,10752,512,1.0,,133
R25-264-1_x022528_y023040,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,2.3122,82.52,4,22528,23040,512,1.0,,134
R25-264-37_x023040_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,6.2403,94.79,6,23040,8192,512,1.0,,135
R26-122-23_HE_91_x016384_y013824,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.9189,85.22,19,16384,13824,512,1.0,,136
R25-264-37_x034304_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,mid,3.269,60.42,1,34304,8192,512,1.0,,137
R25-264-31_x007680_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,low,0.2568,17.65,1,7680,16384,512,1.0,,138
R25-264-13_x004096_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,low,-1.5962,6.92,2,4096,18944,512,1.0,,139
R25-264-34_x020992_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,low,,0.0,0,20992,10240,512,1.0,,140
R26-122-17_HE_101_x012800_y019456,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,5.2957,55.43,12,12800,19456,512,1.0,,141
R25-264-11_x025600_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,high,7.4576,98.16,2,25600,11264,512,1.0,,142
R25-264-34_x017920_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,upper,3.1513,85.54,2,17920,10240,512,1.0,,143
R25-264-12_x022528_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,high,4.2887,91.96,2,22528,15360,512,1.0,,144
R25-264-34_x035328_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,4.0921,93.98,1,35328,10240,512,1.0,,145
R26-122-10_HE_79_x024576_y009728,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,low,3.2361,21.77,14,24576,9728,512,1.0,,146
R26-122-23_HE_91_x017408_y013312,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,low,4.1651,19.93,18,17408,13312,512,1.0,,147
R25-264-32_x044032_y018944,R25-264-32,MASH,unknown,2025-08-25HE,test,high,6.2008,100.0,4,44032,18944,512,1.0,,148
R25-264-34_x032256_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,high,3.5783,90.96,2,32256,10752,512,1.0,,149
R25-264-31_x027136_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,high,7.4844,99.35,4,27136,15872,512,1.0,,150
R26-122-10_HE_79_x007680_y008704,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.2784,94.9,16,7680,8704,512,1.0,,151
R25-264-32_x038400_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,1.3705,48.03,1,38400,19456,512,1.0,,152
R25-264-37_x023552_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.4363,77.08,3,23552,9216,512,1.0,,153
R25-264-12_x041984_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,upper,3.6436,89.29,1,41984,14336,512,1.0,,154
R26-122-2_HE_71_x004096_y011264,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,3.8402,19.93,28,4096,11264,512,1.0,,155
R25-264-13_x039424_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,mid,2.1571,61.64,3,39424,18432,512,1.0,,156
R25-264-1_x018432_y023040,R25-264-1,MASH,unknown,2025-08-25HE,train,high,3.8153,95.12,7,18432,23040,512,1.0,,157
R25-264-1_x029696_y022016,R25-264-1,MASH,unknown,2025-08-25HE,train,low,,0.0,0,29696,22016,512,1.0,,158
R25-264-31_x017920_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,high,5.6847,94.77,2,17920,16896,512,1.0,,159
R26-122-17_HE_101_x026112_y016896,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.1675,78.99,22,26112,16896,512,1.0,,160
R25-264-12_x044032_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,44032,14848,512,1.0,,161
R26-122-2_HE_71_x003072_y012800,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,4.3065,30.6,38,3072,12800,512,1.0,,162
R25-264-11_x014848_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,low,,0.0,0,14848,11264,512,1.0,,163
R25-264-11_x014336_y010240,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,5.5757,92.64,4,14336,10240,512,1.0,,164
R25-264-34_x011776_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,upper,2.8176,81.93,2,11776,10240,512,1.0,,165
R25-264-32_x031232_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,3.5927,86.61,2,31232,19968,512,1.0,,166
R25-264-31_x023040_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,low,-0.1089,13.07,2,23040,15872,512,1.0,,167
R25-264-33_x023040_y017408,R25-264-33,MASH,unknown,2025-08-25HE,train,mid,2.3508,45.06,6,23040,17408,512,1.0,,168
R25-264-13_x035840_y018432__r2,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,3.1031,80.5,1,35840,18432,512,1.0,R25-264-13_x035840_y018432,169
R25-264-1_x028672_y023040,R25-264-1,MASH,unknown,2025-08-25HE,train,high,3.8086,94.72,13,28672,23040,512,1.0,,170
R25-264-31_x018944_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,5.8154,95.42,4,18944,15872,512,1.0,,171
R25-264-33_x024576_y017408,R25-264-33,MASH,unknown,2025-08-25HE,train,high,7.6875,98.77,8,24576,17408,512,0.932,,172
R25-264-37_x030208_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,1.5901,25.0,5,30208,8192,512,1.0,,173
R25-264-1_x017408_y020992,R25-264-1,MASH,unknown,2025-08-25HE,train,high,3.5132,93.9,3,17408,20992,512,1.0,,174
R26-122-17_HE_101_x011776_y018432,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,low,3.4702,9.78,6,11776,18432,512,0.9128,,175
R25-264-37_x024576_y007680,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,2.7536,50.0,7,24576,7680,512,1.0,,176
R25-264-13_x026624_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,3.1286,81.76,2,26624,18432,512,1.0,,177
R25-264-12_x006144_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,high,4.9163,98.21,3,6144,15360,512,1.0,,178
R25-264-37_x013312_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,low,0.6011,13.54,2,13312,9216,512,1.0,,179
R25-264-37_x029184_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,high,6.0334,93.23,5,29184,9216,512,1.0,,180
R25-264-32_x019968_y018944,R25-264-32,MASH,unknown,2025-08-25HE,test,mid,-0.0964,33.07,1,19968,18944,512,1.0,,181
R25-264-37_x014336_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.8006,81.25,8,14336,8192,512,1.0,,182
R25-264-33_x023040_y019456,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,1.2832,23.46,2,23040,19456,512,1.0,,183
R25-264-33_x013824_y019968,R25-264-33,MASH,unknown,2025-08-25HE,train,upper,4.853,87.65,2,13824,19968,512,1.0,,184
R25-264-34_x015872_y010752__r2,R25-264-34,MASH,unknown,2025-08-25HE,train,high,3.555,90.36,2,15872,10752,512,1.0,R25-264-34_x015872_y010752,185
R25-264-13_x030720_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,high,5.1583,98.11,6,30720,18944,512,1.0,,186
R25-264-31_x005120_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,low,,0.0,0,5120,16896,512,1.0,,187
R25-264-13_x009216_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,high,3.9608,92.45,3,9216,19456,512,1.0,,188
R25-264-31_x031744_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,1.35,34.64,4,31744,15872,512,0.9954,,189
R25-264-34_x036352_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,upper,2.3214,72.89,2,36352,9728,512,1.0,,190
R25-264-11_x006144_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,mid,0.9897,31.29,3,6144,10752,512,1.0,,191
R25-264-31_x019968_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,high,6.1081,96.73,6,19968,16384,512,1.0,,192
