field_id,tile_id,slide,cohort,band,split,score,score_pct,n_scored_cells,x,y,repeat_of_tile
f052,R25-264-11_x039424_y011264,R25-264-11,MASH,upper,train,4.2217,79.75,3,39424,11264,
f053,R25-264-34_x023552_y010240,R25-264-34,MASH,low,train,-0.3784,16.87,1,23552,10240,
f054,R25-264-13_x018944_y019456,R25-264-13,MASH,anchor,train,-1.214,12.58,1,18944,19456,
f055,R25-264-31_x027136_y016896,R25-264-31,MASH,upper,test,3.5655,73.86,2,27136,16896,
f056,R26-122-2_HE_71_x011264_y010752,R26-122-2_HE_71,CCl4,mid,train,4.849,46.26,33,11264,10752,
f057,R25-264-1_x029696_y022016,R25-264-1,MASH,low,train,,0.0,0,29696,22016,
f058,R25-264-11_x005632_y011776,R25-264-11,MASH,mid,train,3.1274,67.48,3,5632,11776,
f059,R25-264-34_x014848_y010752,R25-264-34,MASH,anchor,train,0.5479,31.93,2,14848,10752,
f060,R25-264-12_x020480_y014336,R25-264-12,MASH,upper,test,1.6094,73.21,1,20480,14336,
f061,R25-264-1_x005632_y022528,R25-264-1,MASH,upper,train,1.8301,73.58,6,5632,22528,
f062,R25-264-13_x025600_y018432,R25-264-13,MASH,anchor,train,2.6741,71.07,2,25600,18432,
f063,R25-264-13_x025600_y019456,R25-264-13,MASH,mid,train,0.8096,39.62,1,25600,19456,R25-264-13_x025600_y019456
f064,R25-264-37_x034304_y008192,R25-264-37,MASH,mid,train,3.269,60.42,1,34304,8192,
f065,R25-264-37_x020480_y008704,R25-264-37,MASH,mid,train,1.9047,30.73,3,20480,8704,R25-264-37_x020480_y008704
f066,R25-264-33_x029696_y017920,R25-264-33,MASH,high,train,7.0689,98.15,4,29696,17920,R25-264-33_x029696_y017920
f067,R25-264-32_x034304_y019456,R25-264-32,MASH,high,test,4.1677,92.13,4,34304,19456,R25-264-32_x034304_y019456
f068,R25-264-31_x027136_y015872,R25-264-31,MASH,high,test,7.4844,99.35,4,27136,15872,R25-264-31_x027136_y015872
f069,R26-122-2_HE_71_x015872_y010240,R26-122-2_HE_71,CCl4,low,train,3.9874,23.84,25,15872,10240,R26-122-2_HE_71_x015872_y010240
f070,R25-264-13_x025600_y018432,R25-264-13,MASH,anchor,train,2.6741,71.07,2,25600,18432,R25-264-13_x025600_y018432
