order,tile_id,slide,image,context,tile_um,context_um,core_box,dup_of
19,R25-264-3_x010752_y007680,R25-264-3,images/R25-264-3_x010752_y007680.png,context/R25-264-3_x010752_y007680.jpg,253.6,760.8,341 341 341 341,
20,R25-264-31_x013824_y019968,R25-264-31,images/R25-264-31_x013824_y019968.png,context/R25-264-31_x013824_y019968.jpg,253.6,760.8,341 341 341 341,
21,R25-264-11_x029696_y026624,R25-264-11,images/R25-264-11_x029696_y026624.png,context/R25-264-11_x029696_y026624.jpg,253.6,760.8,341 341 341 341,
22,R25-264-1_x013824_y022016,R25-264-1,images/R25-264-1_x013824_y022016.png,context/R25-264-1_x013824_y022016.jpg,253.6,760.8,341 341 341 341,
23,R25-264-33_x031232_y017408,R25-264-33,images/R25-264-33_x031232_y017408.png,context/R25-264-33_x031232_y017408.jpg,253.6,760.8,341 341 341 341,
24,R25-264-11_x019456_y010240,R25-264-11,images/R25-264-11_x019456_y010240.png,context/R25-264-11_x019456_y010240.jpg,253.6,760.8,341 341 341 341,
25,R25-264-1_x005120_y021504,R25-264-1,images/R25-264-1_x005120_y021504.png,context/R25-264-1_x005120_y021504.jpg,253.6,760.8,341 341 341 341,
26,R25-264-13_x012288_y011776,R25-264-13,images/R25-264-13_x012288_y011776.png,context/R25-264-13_x012288_y011776.jpg,253.6,760.8,341 341 341 341,
27,R25-264-13_x020480_y019456,R25-264-13,images/R25-264-13_x020480_y019456.png,context/R25-264-13_x020480_y019456.jpg,253.6,760.8,341 341 341 341,
28,R25-264-3_x036864_y014336,R25-264-3,images/R25-264-3_x036864_y014336.png,context/R25-264-3_x036864_y014336.jpg,253.6,760.8,341 341 341 341,
29,R25-264-32_x010240_y010752,R25-264-32,images/R25-264-32_x010240_y010752.png,context/R25-264-32_x010240_y010752.jpg,253.6,760.8,341 341 341 341,
30,R25-264-13_x039936_y018432,R25-264-13,images/R25-264-13_x039936_y018432.png,context/R25-264-13_x039936_y018432.jpg,253.6,760.8,341 341 341 341,
31,R25-264-30_x026624_y026624,R25-264-30,images/R25-264-30_x026624_y026624.png,context/R25-264-30_x026624_y026624.jpg,253.6,760.8,341 341 341 341,
32,R25-264-35_x019456_y015360,R25-264-35,images/R25-264-35_x019456_y015360.png,context/R25-264-35_x019456_y015360.jpg,253.6,760.8,341 341 341 341,
33,R26-122-15_HE_85_x026112_y015360,R26-122-15_HE_85,images/R26-122-15_HE_85_x026112_y015360.png,context/R26-122-15_HE_85_x026112_y015360.jpg,253.6,760.8,341 341 341 341,
34,R26-122-36_HE_95_x013312_y012288,R26-122-36_HE_95,images/R26-122-36_HE_95_x013312_y012288.png,context/R26-122-36_HE_95_x013312_y012288.jpg,253.6,760.8,341 341 341 341,
35,R26-122-3_HE_72_x021504_y015872,R26-122-3_HE_72,images/R26-122-3_HE_72_x021504_y015872.png,context/R26-122-3_HE_72_x021504_y015872.jpg,253.6,760.8,341 341 341 341,
36,R26-122-38_HE_97_x022528_y016384,R26-122-38_HE_97,images/R26-122-38_HE_97_x022528_y016384.png,context/R26-122-38_HE_97_x022528_y016384.jpg,253.6,760.8,341 341 341 341,
37,R25-264-12_x037888_y021504,R25-264-12,images/R25-264-12_x037888_y021504.png,context/R25-264-12_x037888_y021504.jpg,253.6,760.8,341 341 341 341,
38,R25-264-35_x020992_y008704,R25-264-35,images/R25-264-35_x020992_y008704.png,context/R25-264-35_x020992_y008704.jpg,253.6,760.8,341 341 341 341,
39,R26-122-10_HE_79_x013312_y010752,R26-122-10_HE_79,images/R26-122-10_HE_79_x013312_y010752.png,context/R26-122-10_HE_79_x013312_y010752.jpg,253.6,760.8,341 341 341 341,
40,R25-264-31_x028672_y016384,R25-264-31,images/R25-264-31_x028672_y016384.png,context/R25-264-31_x028672_y016384.jpg,253.6,760.8,341 341 341 341,
41,R25-264-13_x006656_y019456,R25-264-13,images/R25-264-13_x006656_y019456.png,context/R25-264-13_x006656_y019456.jpg,253.6,760.8,341 341 341 341,
42,R26-122-3_HE_72_x007680_y016384,R26-122-3_HE_72,images/R26-122-3_HE_72_x007680_y016384.png,context/R26-122-3_HE_72_x007680_y016384.jpg,253.6,760.8,341 341 341 341,
43,R25-264-36_x025600_y016384,R25-264-36,images/R25-264-36_x025600_y016384.png,context/R25-264-36_x025600_y016384.jpg,253.6,760.8,341 341 341 341,
44,R25-264-10_x034304_y011264,R25-264-10,images/R25-264-10_x034304_y011264.png,context/R25-264-10_x034304_y011264.jpg,253.6,760.8,341 341 341 341,
45,R25-264-10_x023552_y006656,R25-264-10,images/R25-264-10_x023552_y006656.png,context/R25-264-10_x023552_y006656.jpg,253.6,760.8,341 341 341 341,
46,R25-264-32_x010240_y019456,R25-264-32,images/R25-264-32_x010240_y019456.png,context/R25-264-32_x010240_y019456.jpg,253.6,760.8,341 341 341 341,
47,R25-264-31_x021504_y016896,R25-264-31,images/R25-264-31_x021504_y016896.png,context/R25-264-31_x021504_y016896.jpg,253.6,760.8,341 341 341 341,
48,R25-264-31_x006144_y019968,R25-264-31,images/R25-264-31_x006144_y019968.png,context/R25-264-31_x006144_y019968.jpg,253.6,760.8,341 341 341 341,
49,R25-264-3_x040960_y027648,R25-264-3,images/R25-264-3_x040960_y027648.png,context/R25-264-3_x040960_y027648.jpg,253.6,760.8,341 341 341 341,
50,R25-264-10_x005632_y012288,R25-264-10,images/R25-264-10_x005632_y012288.png,context/R25-264-10_x005632_y012288.jpg,253.6,760.8,341 341 341 341,
51,R26-122-26_HE_107_x012288_y016384,R26-122-26_HE_107,images/R26-122-26_HE_107_x012288_y016384.png,context/R26-122-26_HE_107_x012288_y016384.jpg,253.6,760.8,341 341 341 341,
52,R25-264-34_x012288_y009728,R25-264-34,images/R25-264-34_x012288_y009728.png,context/R25-264-34_x012288_y009728.jpg,253.6,760.8,341 341 341 341,
53,R25-264-36_x027136_y020480,R25-264-36,images/R25-264-36_x027136_y020480.png,context/R25-264-36_x027136_y020480.jpg,253.6,760.8,341 341 341 341,
54,R26-122-29_HE_82_x015872_y010752,R26-122-29_HE_82,images/R26-122-29_HE_82_x015872_y010752.png,context/R26-122-29_HE_82_x015872_y010752.jpg,253.6,760.8,341 341 341 341,
55,R25-264-30_x012800_y014336,R25-264-30,images/R25-264-30_x012800_y014336.png,context/R25-264-30_x012800_y014336.jpg,253.6,760.8,341 341 341 341,
56,R25-264-31_x025088_y009728,R25-264-31,images/R25-264-31_x025088_y009728.png,context/R25-264-31_x025088_y009728.jpg,253.6,760.8,341 341 341 341,
57,R25-264-37_x034816_y008704,R25-264-37,images/R25-264-37_x034816_y008704.png,context/R25-264-37_x034816_y008704.jpg,253.6,760.8,341 341 341 341,
58,R25-264-12_x022528_y022016,R25-264-12,images/R25-264-12_x022528_y022016.png,context/R25-264-12_x022528_y022016.jpg,253.6,760.8,341 341 341 341,
59,R25-264-30_x020992_y026624,R25-264-30,images/R25-264-30_x020992_y026624.png,context/R25-264-30_x020992_y026624.jpg,253.6,760.8,341 341 341 341,
60,R25-264-33_x009728_y007680,R25-264-33,images/R25-264-33_x009728_y007680.png,context/R25-264-33_x009728_y007680.jpg,253.6,760.8,341 341 341 341,
61,R25-264-1_x013312_y024064,R25-264-1,images/R25-264-1_x013312_y024064.png,context/R25-264-1_x013312_y024064.jpg,253.6,760.8,341 341 341 341,
62,R25-264-10_x023552_y021504,R25-264-10,images/R25-264-10_x023552_y021504.png,context/R25-264-10_x023552_y021504.jpg,253.6,760.8,341 341 341 341,
63,R25-264-36_x010240_y016896,R25-264-36,images/R25-264-36_x010240_y016896.png,context/R25-264-36_x010240_y016896.jpg,253.6,760.8,341 341 341 341,
64,R26-122-22_HE_106_x012288_y017920,R26-122-22_HE_106,images/R26-122-22_HE_106_x012288_y017920.png,context/R26-122-22_HE_106_x012288_y017920.jpg,253.6,760.8,341 341 341 341,
65,R26-122-23_HE_91_x004096_y013824,R26-122-23_HE_91,images/R26-122-23_HE_91_x004096_y013824.png,context/R26-122-23_HE_91_x004096_y013824.jpg,253.6,760.8,341 341 341 341,
66,R25-264-11_x015360_y010752,R25-264-11,images/R25-264-11_x015360_y010752.png,context/R25-264-11_x015360_y010752.jpg,253.6,760.8,341 341 341 341,
67,R25-264-10_x029184_y011776,R25-264-10,images/R25-264-10_x029184_y011776.png,context/R25-264-10_x029184_y011776.jpg,253.6,760.8,341 341 341 341,
68,R26-122-12_HE_81_x012800_y008192,R26-122-12_HE_81,images/R26-122-12_HE_81_x012800_y008192.png,context/R26-122-12_HE_81_x012800_y008192.jpg,253.6,760.8,341 341 341 341,
69,R25-264-36_x031232_y016384,R25-264-36,images/R25-264-36_x031232_y016384.png,context/R25-264-36_x031232_y016384.jpg,253.6,760.8,341 341 341 341,
70,R25-264-34_x022528_y010752,R25-264-34,images/R25-264-34_x022528_y010752.png,context/R25-264-34_x022528_y010752.jpg,253.6,760.8,341 341 341 341,
71,R26-122-23_HE_91_x026112_y013824,R26-122-23_HE_91,images/R26-122-23_HE_91_x026112_y013824.png,context/R26-122-23_HE_91_x026112_y013824.jpg,253.6,760.8,341 341 341 341,
72,R25-264-11_x005632_y011264,R25-264-11,images/R25-264-11_x005632_y011264.png,context/R25-264-11_x005632_y011264.jpg,253.6,760.8,341 341 341 341,
73,R25-264-37_x030208_y010240,R25-264-37,images/R25-264-37_x030208_y010240.png,context/R25-264-37_x030208_y010240.jpg,253.6,760.8,341 341 341 341,
74,R25-264-3_x016384_y028160,R25-264-3,images/R25-264-3_x016384_y028160.png,context/R25-264-3_x016384_y028160.jpg,253.6,760.8,341 341 341 341,
75,R25-264-1_x027136_y024064,R25-264-1,images/R25-264-1_x027136_y024064.png,context/R25-264-1_x027136_y024064.jpg,253.6,760.8,341 341 341 341,
76,R25-264-30_x045568_y013824,R25-264-30,images/R25-264-30_x045568_y013824.png,context/R25-264-30_x045568_y013824.jpg,253.6,760.8,341 341 341 341,
77,R25-264-31_x009728_y020480,R25-264-31,images/R25-264-31_x009728_y020480.png,context/R25-264-31_x009728_y020480.jpg,253.6,760.8,341 341 341 341,
78,R25-264-11_x015360_y012288,R25-264-11,images/R25-264-11_x015360_y012288.png,context/R25-264-11_x015360_y012288.jpg,253.6,760.8,341 341 341 341,
79,R25-264-3_x011264_y028160,R25-264-3,images/R25-264-3_x011264_y028160.png,context/R25-264-3_x011264_y028160.jpg,253.6,760.8,341 341 341 341,
80,R25-264-11_x008192_y012800,R25-264-11,images/R25-264-11_x008192_y012800.png,context/R25-264-11_x008192_y012800.jpg,253.6,760.8,341 341 341 341,
81,R26-122-38_HE_97_x005632_y009728,R26-122-38_HE_97,images/R26-122-38_HE_97_x005632_y009728.png,context/R26-122-38_HE_97_x005632_y009728.jpg,253.6,760.8,341 341 341 341,
82,R25-264-31_x030720_y019968,R25-264-31,images/R25-264-31_x030720_y019968.png,context/R25-264-31_x030720_y019968.jpg,253.6,760.8,341 341 341 341,
83,R26-122-2_HE_71_x019968_y013312,R26-122-2_HE_71,images/R26-122-2_HE_71_x019968_y013312.png,context/R26-122-2_HE_71_x019968_y013312.jpg,253.6,760.8,341 341 341 341,
84,R26-122-23_HE_91_x007168_y013824,R26-122-23_HE_91,images/R26-122-23_HE_91_x007168_y013824.png,context/R26-122-23_HE_91_x007168_y013824.jpg,253.6,760.8,341 341 341 341,
85,R25-264-31_x016384_y010240,R25-264-31,images/R25-264-31_x016384_y010240.png,context/R25-264-31_x016384_y010240.jpg,253.6,760.8,341 341 341 341,
86,R25-264-35_x023040_y009216,R25-264-35,images/R25-264-35_x023040_y009216.png,context/R25-264-35_x023040_y009216.jpg,253.6,760.8,341 341 341 341,
87,R25-264-33_x034816_y007168,R25-264-33,images/R25-264-33_x034816_y007168.png,context/R25-264-33_x034816_y007168.jpg,253.6,760.8,341 341 341 341,
88,R25-264-12_x028672_y010752,R25-264-12,images/R25-264-12_x028672_y010752.png,context/R25-264-12_x028672_y010752.jpg,253.6,760.8,341 341 341 341,
89,R25-264-36_x008192_y012288,R25-264-36,images/R25-264-36_x008192_y012288.png,context/R25-264-36_x008192_y012288.jpg,253.6,760.8,341 341 341 341,
90,R25-264-1_x008704_y022016,R25-264-1,images/R25-264-1_x008704_y022016.png,context/R25-264-1_x008704_y022016.jpg,253.6,760.8,341 341 341 341,
91,R25-264-35_x021504_y015360,R25-264-35,images/R25-264-35_x021504_y015360.png,context/R25-264-35_x021504_y015360.jpg,253.6,760.8,341 341 341 341,
92,R25-264-11_x009728_y011264,R25-264-11,images/R25-264-11_x009728_y011264.png,context/R25-264-11_x009728_y011264.jpg,253.6,760.8,341 341 341 341,
93,R25-264-33_x014848_y017920,R25-264-33,images/R25-264-33_x014848_y017920.png,context/R25-264-33_x014848_y017920.jpg,253.6,760.8,341 341 341 341,
94,R25-264-35_x019456_y025088,R25-264-35,images/R25-264-35_x019456_y025088.png,context/R25-264-35_x019456_y025088.jpg,253.6,760.8,341 341 341 341,
95,R25-264-35_x022016_y008704,R25-264-35,images/R25-264-35_x022016_y008704.png,context/R25-264-35_x022016_y008704.jpg,253.6,760.8,341 341 341 341,
96,R26-122-31_HE_98_x024576_y018944,R26-122-31_HE_98,images/R26-122-31_HE_98_x024576_y018944.png,context/R26-122-31_HE_98_x024576_y018944.jpg,253.6,760.8,341 341 341 341,
97,R26-122-31_HE_98_x023552_y018432,R26-122-31_HE_98,images/R26-122-31_HE_98_x023552_y018432.png,context/R26-122-31_HE_98_x023552_y018432.jpg,253.6,760.8,341 341 341 341,
98,R26-122-19_HE_103_x002560_y014336,R26-122-19_HE_103,images/R26-122-19_HE_103_x002560_y014336.png,context/R26-122-19_HE_103_x002560_y014336.jpg,253.6,760.8,341 341 341 341,
99,R25-264-36_x038400_y016384,R25-264-36,images/R25-264-36_x038400_y016384.png,context/R25-264-36_x038400_y016384.jpg,253.6,760.8,341 341 341 341,
100,R26-122-19_HE_103_x013824_y019456,R26-122-19_HE_103,images/R26-122-19_HE_103_x013824_y019456.png,context/R26-122-19_HE_103_x013824_y019456.jpg,253.6,760.8,341 341 341 341,
101,R25-264-34_x037888_y010240,R25-264-34,images/R25-264-34_x037888_y010240.png,context/R25-264-34_x037888_y010240.jpg,253.6,760.8,341 341 341 341,
102,R25-264-1_x012800_y023040,R25-264-1,images/R25-264-1_x012800_y023040.png,context/R25-264-1_x012800_y023040.jpg,253.6,760.8,341 341 341 341,
103,R25-264-10_x022016_y011776,R25-264-10,images/R25-264-10_x022016_y011776.png,context/R25-264-10_x022016_y011776.jpg,253.6,760.8,341 341 341 341,
104,R25-264-12_x021504_y022016,R25-264-12,images/R25-264-12_x021504_y022016.png,context/R25-264-12_x021504_y022016.jpg,253.6,760.8,341 341 341 341,
105,R26-122-31_HE_98_x025600_y011264,R26-122-31_HE_98,images/R26-122-31_HE_98_x025600_y011264.png,context/R26-122-31_HE_98_x025600_y011264.jpg,253.6,760.8,341 341 341 341,
106,R25-264-10_x031744_y016384,R25-264-10,images/R25-264-10_x031744_y016384.png,context/R25-264-10_x031744_y016384.jpg,253.6,760.8,341 341 341 341,
107,R26-122-6_HE_75_x020992_y019456,R26-122-6_HE_75,images/R26-122-6_HE_75_x020992_y019456.png,context/R26-122-6_HE_75_x020992_y019456.jpg,253.6,760.8,341 341 341 341,
108,R25-264-32_x043008_y019456,R25-264-32,images/R25-264-32_x043008_y019456.png,context/R25-264-32_x043008_y019456.jpg,253.6,760.8,341 341 341 341,
109,R26-122-1_HE_70_x028672_y011264,R26-122-1_HE_70,images/R26-122-1_HE_70_x028672_y011264.png,context/R26-122-1_HE_70_x028672_y011264.jpg,253.6,760.8,341 341 341 341,
110,R25-264-30_x035840_y014336,R25-264-30,images/R25-264-30_x035840_y014336.png,context/R25-264-30_x035840_y014336.jpg,253.6,760.8,341 341 341 341,
111,R25-264-10_x008704_y007168,R25-264-10,images/R25-264-10_x008704_y007168.png,context/R25-264-10_x008704_y007168.jpg,253.6,760.8,341 341 341 341,
112,R25-264-12_x031744_y015360,R25-264-12,images/R25-264-12_x031744_y015360.png,context/R25-264-12_x031744_y015360.jpg,253.6,760.8,341 341 341 341,
113,R25-264-30_x036864_y014336,R25-264-30,images/R25-264-30_x036864_y014336.png,context/R25-264-30_x036864_y014336.jpg,253.6,760.8,341 341 341 341,
114,R26-122-34_HE_93_x020992_y008192,R26-122-34_HE_93,images/R26-122-34_HE_93_x020992_y008192.png,context/R26-122-34_HE_93_x020992_y008192.jpg,253.6,760.8,341 341 341 341,
115,R25-264-11_x022016_y011264,R25-264-11,images/R25-264-11_x022016_y011264.png,context/R25-264-11_x022016_y011264.jpg,253.6,760.8,341 341 341 341,
116,R25-264-36_x013824_y020992,R25-264-36,images/R25-264-36_x013824_y020992.png,context/R25-264-36_x013824_y020992.jpg,253.6,760.8,341 341 341 341,
117,R26-122-10_HE_79_x006656_y011264,R26-122-10_HE_79,images/R26-122-10_HE_79_x006656_y011264.png,context/R26-122-10_HE_79_x006656_y011264.jpg,253.6,760.8,341 341 341 341,
118,R25-264-36_x014336_y007168,R25-264-36,images/R25-264-36_x014336_y007168.png,context/R25-264-36_x014336_y007168.jpg,253.6,760.8,341 341 341 341,
119,R25-264-1_x028672_y022528,R25-264-1,images/R25-264-1_x028672_y022528.png,context/R25-264-1_x028672_y022528.jpg,253.6,760.8,341 341 341 341,
120,R26-122-26_HE_107_x015360_y010752,R26-122-26_HE_107,images/R26-122-26_HE_107_x015360_y010752.png,context/R26-122-26_HE_107_x015360_y010752.jpg,253.6,760.8,341 341 341 341,
121,R26-122-23_HE_91_x029184_y013312,R26-122-23_HE_91,images/R26-122-23_HE_91_x029184_y013312.png,context/R26-122-23_HE_91_x029184_y013312.jpg,253.6,760.8,341 341 341 341,
122,R26-122-26_HE_107_x023552_y010752,R26-122-26_HE_107,images/R26-122-26_HE_107_x023552_y010752.png,context/R26-122-26_HE_107_x023552_y010752.jpg,253.6,760.8,341 341 341 341,
123,R25-264-30_x013824_y019968,R25-264-30,images/R25-264-30_x013824_y019968.png,context/R25-264-30_x013824_y019968.jpg,253.6,760.8,341 341 341 341,
124,R25-264-34_x027136_y018944,R25-264-34,images/R25-264-34_x027136_y018944.png,context/R25-264-34_x027136_y018944.jpg,253.6,760.8,341 341 341 341,
125,R25-264-33_x032256_y017408,R25-264-33,images/R25-264-33_x032256_y017408.png,context/R25-264-33_x032256_y017408.jpg,253.6,760.8,341 341 341 341,
126,R25-264-32_x039936_y022016,R25-264-32,images/R25-264-32_x039936_y022016.png,context/R25-264-32_x039936_y022016.jpg,253.6,760.8,341 341 341 341,
127,R25-264-10_x006656_y011776,R25-264-10,images/R25-264-10_x006656_y011776.png,context/R25-264-10_x006656_y011776.jpg,253.6,760.8,341 341 341 341,
128,R25-264-37_x017920_y020992,R25-264-37,images/R25-264-37_x017920_y020992.png,context/R25-264-37_x017920_y020992.jpg,253.6,760.8,341 341 341 341,
129,R26-122-15_HE_85_x009216_y015360,R26-122-15_HE_85,images/R26-122-15_HE_85_x009216_y015360.png,context/R26-122-15_HE_85_x009216_y015360.jpg,253.6,760.8,341 341 341 341,
130,R25-264-10_x008192_y016896,R25-264-10,images/R25-264-10_x008192_y016896.png,context/R25-264-10_x008192_y016896.jpg,253.6,760.8,341 341 341 341,
131,R25-264-32_x029696_y019456,R25-264-32,images/R25-264-32_x029696_y019456.png,context/R25-264-32_x029696_y019456.jpg,253.6,760.8,341 341 341 341,
132,R25-264-33_x032256_y007168,R25-264-33,images/R25-264-33_x032256_y007168.png,context/R25-264-33_x032256_y007168.jpg,253.6,760.8,341 341 341 341,
133,R25-264-37_x028160_y019968,R25-264-37,images/R25-264-37_x028160_y019968.png,context/R25-264-37_x028160_y019968.jpg,253.6,760.8,341 341 341 341,
134,R25-264-30_x009216_y008704,R25-264-30,images/R25-264-30_x009216_y008704.png,context/R25-264-30_x009216_y008704.jpg,253.6,760.8,341 341 341 341,
135,R25-264-34_x035328_y018432,R25-264-34,images/R25-264-34_x035328_y018432.png,context/R25-264-34_x035328_y018432.jpg,253.6,760.8,341 341 341 341,
136,R25-264-36_x012800_y016384,R25-264-36,images/R25-264-36_x012800_y016384.png,context/R25-264-36_x012800_y016384.jpg,253.6,760.8,341 341 341 341,
137,R25-264-13_x033792_y011264,R25-264-13,images/R25-264-13_x033792_y011264.png,context/R25-264-13_x033792_y011264.jpg,253.6,760.8,341 341 341 341,
138,R25-264-35_x022528_y015360,R25-264-35,images/R25-264-35_x022528_y015360.png,context/R25-264-35_x022528_y015360.jpg,253.6,760.8,341 341 341 341,
139,R25-264-31_x019968_y016896,R25-264-31,images/R25-264-31_x019968_y016896.png,context/R25-264-31_x019968_y016896.jpg,253.6,760.8,341 341 341 341,
140,R26-122-3_HE_72_x002560_y009728,R26-122-3_HE_72,images/R26-122-3_HE_72_x002560_y009728.png,context/R26-122-3_HE_72_x002560_y009728.jpg,253.6,760.8,341 341 341 341,
141,R25-264-37_x016384_y009216,R25-264-37,images/R25-264-37_x016384_y009216.png,context/R25-264-37_x016384_y009216.jpg,253.6,760.8,341 341 341 341,
142,R25-264-10_x030208_y006144,R25-264-10,images/R25-264-10_x030208_y006144.png,context/R25-264-10_x030208_y006144.jpg,253.6,760.8,341 341 341 341,
143,R26-122-15_HE_85_x019456_y009216,R26-122-15_HE_85,images/R26-122-15_HE_85_x019456_y009216.png,context/R26-122-15_HE_85_x019456_y009216.jpg,253.6,760.8,341 341 341 341,
144,R26-122-2_HE_71_x013312_y012800,R26-122-2_HE_71,images/R26-122-2_HE_71_x013312_y012800.png,context/R26-122-2_HE_71_x013312_y012800.jpg,253.6,760.8,341 341 341 341,
145,R26-122-19_HE_103_x019456_y018944,R26-122-19_HE_103,images/R26-122-19_HE_103_x019456_y018944.png,context/R26-122-19_HE_103_x019456_y018944.jpg,253.6,760.8,341 341 341 341,
146,R25-264-13_x046592_y011264,R25-264-13,images/R25-264-13_x046592_y011264.png,context/R25-264-13_x046592_y011264.jpg,253.6,760.8,341 341 341 341,
147,R25-264-33_x011264_y007680,R25-264-33,images/R25-264-33_x011264_y007680.png,context/R25-264-33_x011264_y007680.jpg,253.6,760.8,341 341 341 341,
148,R26-122-2_HE_71_x006144_y012288,R26-122-2_HE_71,images/R26-122-2_HE_71_x006144_y012288.png,context/R26-122-2_HE_71_x006144_y012288.jpg,253.6,760.8,341 341 341 341,
149,R26-122-23_HE_91_x017920_y013824,R26-122-23_HE_91,images/R26-122-23_HE_91_x017920_y013824.png,context/R26-122-23_HE_91_x017920_y013824.jpg,253.6,760.8,341 341 341 341,
150,R25-264-10_x013312_y022528,R25-264-10,images/R25-264-10_x013312_y022528.png,context/R25-264-10_x013312_y022528.jpg,253.6,760.8,341 341 341 341,
151,R25-264-12_x016896_y015360,R25-264-12,images/R25-264-12_x016896_y015360.png,context/R25-264-12_x016896_y015360.jpg,253.6,760.8,341 341 341 341,
152,R26-122-17_HE_101_x017920_y019968,R26-122-17_HE_101,images/R26-122-17_HE_101_x017920_y019968.png,context/R26-122-17_HE_101_x017920_y019968.jpg,253.6,760.8,341 341 341 341,
153,R25-264-37_x022016_y020480,R25-264-37,images/R25-264-37_x022016_y020480.png,context/R25-264-37_x022016_y020480.jpg,253.6,760.8,341 341 341 341,
154,R26-122-3_HE_72_x008192_y010240,R26-122-3_HE_72,images/R26-122-3_HE_72_x008192_y010240.png,context/R26-122-3_HE_72_x008192_y010240.jpg,253.6,760.8,341 341 341 341,
155,R25-264-12_x010752_y022016,R25-264-12,images/R25-264-12_x010752_y022016.png,context/R25-264-12_x010752_y022016.jpg,253.6,760.8,341 341 341 341,
156,R26-122-26_HE_107_x004608_y012288,R26-122-26_HE_107,images/R26-122-26_HE_107_x004608_y012288.png,context/R26-122-26_HE_107_x004608_y012288.jpg,253.6,760.8,341 341 341 341,
157,R25-264-34_x022528_y018944,R25-264-34,images/R25-264-34_x022528_y018944.png,context/R25-264-34_x022528_y018944.jpg,253.6,760.8,341 341 341 341,
158,R25-264-1_x027648_y021504,R25-264-1,images/R25-264-1_x027648_y021504.png,context/R25-264-1_x027648_y021504.jpg,253.6,760.8,341 341 341 341,
159,R25-264-37_x007680_y020480,R25-264-37,images/R25-264-37_x007680_y020480.png,context/R25-264-37_x007680_y020480.jpg,253.6,760.8,341 341 341 341,
160,R26-122-22_HE_106_x009728_y010752,R26-122-22_HE_106,images/R26-122-22_HE_106_x009728_y010752.png,context/R26-122-22_HE_106_x009728_y010752.jpg,253.6,760.8,341 341 341 341,
161,R25-264-13_x037376_y018432,R25-264-13,images/R25-264-13_x037376_y018432.png,context/R25-264-13_x037376_y018432.jpg,253.6,760.8,341 341 341 341,
