tile_id,slide,cohort,diet,batch,split,band,score,score_pct,n_scored_cells,x,y,size,tissue_fraction,frame_tiles,frame_patches,dup_of,order
R25-264-31_x013824_y019968,R25-264-31,MASH,unknown,2025-08-25HE,test,high,8.904,99.69,2,13824,19968,512,1.0,,,,20
R25-264-11_x029696_y026624,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,3.5177,74.84,3,29696,26624,512,1.0,,,,21
R25-264-1_x013824_y022016,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,1.0311,72.02,1,13824,22016,512,1.0,,,,22
R25-264-33_x031232_y017408,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.6924,95.88,5,31232,17408,512,1.0,,,,23
R25-264-11_x019456_y010240,R25-264-11,MASH,unknown,2025-08-25HE,train,low,0.2301,22.58,1,19456,10240,512,1.0,,,,24
R25-264-1_x005120_y021504,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,2.1345,86.9,2,5120,21504,512,1.0,,,,25
R25-264-13_x012288_y011776,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,4.0786,88.82,6,12288,11776,512,1.0,,,,26
R25-264-13_x020480_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,high,4.7839,95.53,4,20480,19456,512,1.0,,,,27
R25-264-3_x036864_y014336,R25-264-3,MASH,unknown,2025-08-25HE,train,high,6.6428,97.64,4,36864,14336,512,1.0,,,,28
R25-264-32_x010240_y010752,R25-264-32,MASH,unknown,2025-08-25HE,test,mid,2.2794,61.6,2,10240,10752,512,1.0,,,,29
R25-264-13_x039936_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,mid,0.8671,34.82,4,39936,18432,512,1.0,,,,30
R25-264-30_x026624_y026624,R25-264-30,MASH,unknown,2025-08-25HE,train,upper,3.1487,75.49,2,26624,26624,512,1.0,,,,31
R25-264-35_x019456_y015360,R25-264-35,MASH,unknown,2025-08-25HE,test,upper,4.1734,79.83,3,19456,15360,512,1.0,,,,32
R26-122-15_HE_85_x026112_y015360,R26-122-15_HE_85,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,4.6506,73.12,7,26112,15360,512,1.0,,,,33
R26-122-36_HE_95_x013312_y012288,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,high,6.8821,97.76,2,13312,12288,512,1.0,,,,34
R26-122-3_HE_72_x021504_y015872,R26-122-3_HE_72,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,1.7093,32.58,2,21504,15872,512,1.0,,,,35
R26-122-38_HE_97_x022528_y016384,R26-122-38_HE_97,CCl4,unknown,2026-04-20_CCl4_HE,test,mid,4.2082,69.78,7,22528,16384,512,1.0,,,,36
R25-264-12_x037888_y021504,R25-264-12,MASH,unknown,2025-08-25HE,test,low,,0.0,0,37888,21504,512,1.0,,,,37
R25-264-35_x020992_y008704,R25-264-35,MASH,unknown,2025-08-25HE,test,anchor,4.6399,84.53,2,20992,8704,512,1.0,,,,38
R26-122-10_HE_79_x013312_y010752,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,high,7.0262,100.0,3,13312,10752,512,1.0,,,,39
R25-264-31_x028672_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,2.711,60.74,4,28672,16384,512,1.0,,,,40
R25-264-13_x006656_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,mid,2.5759,62.94,5,6656,19456,512,1.0,,,,41
R26-122-3_HE_72_x007680_y016384,R26-122-3_HE_72,CCl4,unknown,2026-04-20_CCl4_HE,train,high,4.694,91.01,3,7680,16384,512,1.0,,,,42
R25-264-36_x025600_y016384,R25-264-36,MASH,unknown,2025-08-25HE,train,mid,1.7201,30.25,5,25600,16384,512,1.0,,,,43
R25-264-10_x034304_y011264,R25-264-10,MASH,unknown,2025-08-25HE,test,upper,4.0544,80.68,2,34304,11264,512,1.0,,,,44
R25-264-10_x023552_y006656,R25-264-10,MASH,unknown,2025-08-25HE,test,mid,3.3462,65.91,4,23552,6656,512,1.0,,,,45
R25-264-32_x010240_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,low,,0.0,0,10240,19456,512,1.0,,,,46
R25-264-31_x021504_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,high,4.9371,90.8,7,21504,16896,512,0.9486,,,,47
R25-264-31_x006144_y019968,R25-264-31,MASH,unknown,2025-08-25HE,test,low,-3.854,1.53,2,6144,19968,512,1.0,,,,48
R25-264-3_x040960_y027648,R25-264-3,MASH,unknown,2025-08-25HE,train,mid,0.6464,30.41,1,40960,27648,512,1.0,,,,49
R25-264-10_x005632_y012288,R25-264-10,MASH,unknown,2025-08-25HE,test,anchor,3.447,67.33,2,5632,12288,512,1.0,,,,50
R26-122-26_HE_107_x012288_y016384,R26-122-26_HE_107,CCl4,unknown,2026-04-20_CCl4_HE,train,high,6.4293,95.16,10,12288,16384,512,1.0,,,,51
R25-264-34_x012288_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,upper,3.0155,82.57,5,12288,9728,512,1.0,,,,52
R25-264-36_x027136_y020480,R25-264-36,MASH,unknown,2025-08-25HE,train,high,7.8696,98.88,3,27136,20480,512,1.0,,,,53
R26-122-29_HE_82_x015872_y010752,R26-122-29_HE_82,CCl4,unknown,2026-04-20_CCl4_HE,test,anchor,1.289,26.11,1,15872,10752,512,1.0,,,,54
R25-264-30_x012800_y014336,R25-264-30,MASH,unknown,2025-08-25HE,train,mid,1.2949,49.01,2,12800,14336,512,1.0,,,,55
R25-264-31_x025088_y009728,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,4.6042,88.96,4,25088,9728,512,1.0,,,,56
R25-264-37_x034816_y008704,R25-264-37,MASH,unknown,2025-08-25HE,train,high,5.9343,92.07,7,34816,8704,512,1.0,,,,57
R25-264-12_x022528_y022016,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,22528,22016,512,1.0,,,,58
R25-264-30_x020992_y026624,R25-264-30,MASH,unknown,2025-08-25HE,train,anchor,1.0512,45.45,1,20992,26624,512,1.0,,,,59
R25-264-33_x009728_y007680,R25-264-33,MASH,unknown,2025-08-25HE,train,low,0.9978,22.94,3,9728,7680,512,1.0,,,,60
R25-264-1_x013312_y024064,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,,0.0,0,13312,24064,512,1.0,,,,61
R25-264-10_x023552_y021504,R25-264-10,MASH,unknown,2025-08-25HE,test,anchor,-0.9671,7.95,1,23552,21504,512,1.0,,,,62
R25-264-36_x010240_y016896,R25-264-36,MASH,unknown,2025-08-25HE,train,high,5.17,90.48,3,10240,16896,512,1.0,,,,63
R26-122-22_HE_106_x012288_y017920,R26-122-22_HE_106,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,4.603,70.9,2,12288,17920,512,1.0,,,,64
R26-122-23_HE_91_x004096_y013824,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,low,,0.0,0,4096,13824,512,1.0,,,,65
R25-264-11_x015360_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,5.2086,89.68,3,15360,10752,512,1.0,,,,66
R25-264-10_x029184_y011776,R25-264-10,MASH,unknown,2025-08-25HE,test,high,5.4212,94.32,1,29184,11776,512,1.0,,,,67
R26-122-12_HE_81_x012800_y008192,R26-122-12_HE_81,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,0.6465,9.63,4,12800,8192,512,1.0,,,,68
R25-264-36_x031232_y016384,R25-264-36,MASH,unknown,2025-08-25HE,train,low,-1.5194,3.92,2,31232,16384,512,1.0,,,,69
R25-264-34_x022528_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,low,-2.1063,5.5,1,22528,10752,512,1.0,,,,70
R26-122-23_HE_91_x026112_y013824,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,high,5.5761,94.91,5,26112,13824,512,1.0,,,,71
R25-264-11_x005632_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,-0.5643,16.45,2,5632,11264,512,1.0,,,,72
R25-264-37_x030208_y010240,R25-264-37,MASH,unknown,2025-08-25HE,train,high,7.1201,97.19,6,30208,10240,512,1.0,,,,73
R25-264-3_x016384_y028160,R25-264-3,MASH,unknown,2025-08-25HE,train,upper,3.5193,79.05,5,16384,28160,512,1.0,,,,74
R25-264-1_x027136_y024064,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,1.4344,78.57,2,27136,24064,512,1.0,,,,75
R25-264-30_x045568_y013824,R25-264-30,MASH,unknown,2025-08-25HE,train,upper,2.958,72.33,8,45568,13824,512,1.0,,,,76
R25-264-31_x009728_y020480,R25-264-31,MASH,unknown,2025-08-25HE,test,low,-1.3518,7.67,1,9728,20480,512,1.0,,,,77
R25-264-11_x015360_y012288,R25-264-11,MASH,unknown,2025-08-25HE,train,mid,2.3047,52.26,1,15360,12288,512,1.0,,,,78
R25-264-3_x011264_y028160,R25-264-3,MASH,unknown,2025-08-25HE,train,high,7.0031,98.65,5,11264,28160,512,1.0,,,,79
R25-264-11_x008192_y012800,R25-264-11,MASH,unknown,2025-08-25HE,train,low,,0.0,0,8192,12800,512,1.0,,,,80
R26-122-38_HE_97_x005632_y009728,R26-122-38_HE_97,CCl4,unknown,2026-04-20_CCl4_HE,test,upper,5.4067,89.01,5,5632,9728,512,1.0,,,,81
R25-264-31_x030720_y019968,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,3.8558,80.37,3,30720,19968,512,1.0,,,,82
R26-122-2_HE_71_x019968_y013312,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,high,4.5968,91.42,5,19968,13312,512,1.0,,,,83
R26-122-23_HE_91_x007168_y013824,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,4.1778,78.18,2,7168,13824,512,1.0,,,,84
R25-264-31_x016384_y010240,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,0.9883,30.98,3,16384,10240,512,1.0,,,,85
R25-264-35_x023040_y009216,R25-264-35,MASH,unknown,2025-08-25HE,test,anchor,5.9561,95.86,6,23040,9216,512,1.0,,,,86
R25-264-33_x034816_y007168,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.0966,91.47,6,34816,7168,512,1.0,,,,87
R25-264-12_x028672_y010752,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,28672,10752,512,1.0,,,,88
R25-264-36_x008192_y012288,R25-264-36,MASH,unknown,2025-08-25HE,train,anchor,3.1381,57.98,5,8192,12288,512,1.0,,,,89
R25-264-1_x008704_y022016,R25-264-1,MASH,unknown,2025-08-25HE,train,mid,0.07,54.17,1,8704,22016,512,1.0,,,,90
R25-264-35_x021504_y015360,R25-264-35,MASH,unknown,2025-08-25HE,test,upper,4.4215,82.87,7,21504,15360,512,1.0,,,,91
R25-264-11_x009728_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,0.5287,26.77,1,9728,11264,512,1.0,,,,92
R25-264-33_x014848_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,high,6.3707,97.94,5,14848,17920,512,1.0,,,,93
R25-264-35_x019456_y025088,R25-264-35,MASH,unknown,2025-08-25HE,test,anchor,0.3197,13.26,3,19456,25088,512,1.0,,,,94
R25-264-35_x022016_y008704,R25-264-35,MASH,unknown,2025-08-25HE,test,low,0.7097,16.85,2,22016,8704,512,1.0,,,,95
R26-122-31_HE_98_x024576_y018944,R26-122-31_HE_98,CCl4,unknown,2026-04-20_CCl4_HE,test,mid,1.5075,40.88,2,24576,18944,512,1.0,,,,96
R26-122-31_HE_98_x023552_y018432,R26-122-31_HE_98,CCl4,unknown,2026-04-20_CCl4_HE,test,low,0.2258,13.81,3,23552,18432,512,1.0,,,,97
R26-122-19_HE_103_x002560_y014336,R26-122-19_HE_103,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,2.5737,56.9,3,2560,14336,512,0.8705,,,,98
R25-264-36_x038400_y016384,R25-264-36,MASH,unknown,2025-08-25HE,train,anchor,3.6407,67.23,4,38400,16384,512,1.0,,,,99
R26-122-19_HE_103_x013824_y019456,R26-122-19_HE_103,CCl4,unknown,2026-04-20_CCl4_HE,train,low,,0.0,0,13824,19456,512,1.0,,,,100
R25-264-34_x037888_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,low,,0.0,0,37888,10240,512,1.0,,,,101
R25-264-1_x012800_y023040,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,,0.0,0,12800,23040,512,1.0,,,,102
R25-264-10_x022016_y011776,R25-264-10,MASH,unknown,2025-08-25HE,test,low,,0.0,0,22016,11776,512,1.0,,,,103
R25-264-12_x021504_y022016,R25-264-12,MASH,unknown,2025-08-25HE,test,upper,2.9054,85.71,3,21504,22016,512,1.0,,,,104
R26-122-31_HE_98_x025600_y011264,R26-122-31_HE_98,CCl4,unknown,2026-04-20_CCl4_HE,test,mid,1.7083,46.41,2,25600,11264,512,1.0,,,,105
R25-264-10_x031744_y016384,R25-264-10,MASH,unknown,2025-08-25HE,test,high,5.2584,92.33,5,31744,16384,512,1.0,,,,106
R26-122-6_HE_75_x020992_y019456,R26-122-6_HE_75,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,3.155,67.05,4,20992,19456,512,1.0,,,,107
R25-264-32_x043008_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,2.8551,71.1,1,43008,19456,512,1.0,,,,108
R26-122-1_HE_70_x028672_y011264,R26-122-1_HE_70,CCl4,unknown,2026-04-20_CCl4_HE,train,low,,0.0,0,28672,11264,512,1.0,,,,109
R25-264-30_x035840_y014336,R25-264-30,MASH,unknown,2025-08-25HE,train,high,5.6141,96.84,2,35840,14336,512,1.0,,,,110
R25-264-10_x008704_y007168,R25-264-10,MASH,unknown,2025-08-25HE,test,low,1.0903,26.7,2,8704,7168,512,1.0,,,,111
R25-264-12_x031744_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,-0.4738,33.77,1,31744,15360,512,1.0,,,,112
R25-264-30_x036864_y014336,R25-264-30,MASH,unknown,2025-08-25HE,train,high,5.6865,97.23,1,36864,14336,512,1.0,,,,113
R26-122-34_HE_93_x020992_y008192,R26-122-34_HE_93,CCl4,unknown,2026-04-20_CCl4_HE,test,high,5.9668,97.28,7,20992,8192,512,1.0,,,,114
R25-264-11_x022016_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,high,7.373,97.74,1,22016,11264,512,1.0,,,,115
R25-264-36_x013824_y020992,R25-264-36,MASH,unknown,2025-08-25HE,train,upper,4.1619,76.19,6,13824,20992,512,1.0,,,,116
R26-122-10_HE_79_x006656_y011264,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,high,4.7184,90.51,3,6656,11264,512,1.0,,,,117
R25-264-36_x014336_y007168,R25-264-36,MASH,unknown,2025-08-25HE,train,anchor,4.4505,81.51,3,14336,7168,512,1.0,,,,118
R25-264-1_x028672_y022528,R25-264-1,MASH,unknown,2025-08-25HE,train,high,2.8952,93.45,5,28672,22528,512,1.0,,,,119
R26-122-26_HE_107_x015360_y010752,R26-122-26_HE_107,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,3.9651,62.9,3,15360,10752,512,1.0,,,,120
R26-122-23_HE_91_x029184_y013312,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,3.1226,52.73,6,29184,13312,512,0.9614,,,,121
R26-122-26_HE_107_x023552_y010752,R26-122-26_HE_107,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,2.8567,40.86,2,23552,10752,512,1.0,,,,122
R25-264-30_x013824_y019968,R25-264-30,MASH,unknown,2025-08-25HE,train,anchor,,0.0,0,13824,19968,512,1.0,,,,123
R25-264-34_x027136_y018944,R25-264-34,MASH,unknown,2025-08-25HE,train,low,-0.3195,17.43,1,27136,18944,512,1.0,,,,124
R25-264-33_x032256_y017408,R25-264-33,MASH,unknown,2025-08-25HE,train,high,4.873,90.0,5,32256,17408,512,0.9908,,,,125
R25-264-32_x039936_y022016,R25-264-32,MASH,unknown,2025-08-25HE,test,high,4.3286,90.87,8,39936,22016,512,1.0,,,,126
R25-264-10_x006656_y011776,R25-264-10,MASH,unknown,2025-08-25HE,test,high,5.8819,96.31,2,6656,11776,512,1.0,,,,127
R25-264-37_x017920_y020992,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.224,71.36,8,17920,20992,512,1.0,,,,128
R26-122-15_HE_85_x009216_y015360,R26-122-15_HE_85,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,3.4901,46.77,5,9216,15360,512,1.0,,,,129
R25-264-10_x008192_y016896,R25-264-10,MASH,unknown,2025-08-25HE,test,low,0.5946,20.45,2,8192,16896,512,1.0,,,,130
R25-264-32_x029696_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,high,6.0249,98.48,1,29696,19456,512,1.0,,,,131
R25-264-33_x032256_y007168,R25-264-33,MASH,unknown,2025-08-25HE,train,high,6.0599,97.35,3,32256,7168,512,1.0,,,,132
R25-264-37_x028160_y019968,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.7982,80.05,7,28160,19968,512,1.0,,,,133
R25-264-30_x009216_y008704,R25-264-30,MASH,unknown,2025-08-25HE,train,mid,1.0426,45.06,1,9216,8704,512,1.0,,,,134
R25-264-34_x035328_y018432,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,,0.0,0,35328,18432,512,1.0,,,,135
R25-264-36_x012800_y016384,R25-264-36,MASH,unknown,2025-08-25HE,train,high,6.0567,94.96,2,12800,16384,512,1.0,,,,136
R25-264-13_x033792_y011264,R25-264-13,MASH,unknown,2025-08-25HE,train,high,8.027,99.68,7,33792,11264,512,1.0,,,,137
R25-264-35_x022528_y015360,R25-264-35,MASH,unknown,2025-08-25HE,test,high,5.4616,93.09,1,22528,15360,512,1.0,,,,138
R25-264-31_x019968_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,high,5.0801,92.02,9,19968,16896,512,1.0,,,,139
R26-122-3_HE_72_x002560_y009728,R26-122-3_HE_72,CCl4,unknown,2026-04-20_CCl4_HE,train,low,1.5798,28.65,1,2560,9728,512,1.0,,,,140
R25-264-37_x016384_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.6093,78.01,4,16384,9216,512,1.0,,,,141
R25-264-10_x030208_y006144,R25-264-10,MASH,unknown,2025-08-25HE,test,anchor,5.0174,90.62,6,30208,6144,512,1.0,,,,142
R26-122-15_HE_85_x019456_y009216,R26-122-15_HE_85,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,2.1389,22.04,6,19456,9216,512,1.0,,,,143
R26-122-2_HE_71_x013312_y012800,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,low,,0.0,0,13312,12800,512,1.0,,,,144
R26-122-19_HE_103_x019456_y018944,R26-122-19_HE_103,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,3.7779,75.86,5,19456,18944,512,1.0,,,,145
R25-264-13_x046592_y011264,R25-264-13,MASH,unknown,2025-08-25HE,train,high,4.376,91.05,5,46592,11264,512,1.0,,,,146
R25-264-33_x011264_y007680,R25-264-33,MASH,unknown,2025-08-25HE,train,high,4.9036,90.29,1,11264,7680,512,1.0,,,,147
R26-122-2_HE_71_x006144_y012288,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,2.374,44.4,1,6144,12288,512,1.0,,,,148
R26-122-23_HE_91_x017920_y013824,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,high,5.5697,94.18,1,17920,13824,512,1.0,,,,149
R25-264-10_x013312_y022528,R25-264-10,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,13312,22528,512,1.0,,,,150
R25-264-12_x016896_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,16896,15360,512,1.0,,,,151
R26-122-17_HE_101_x017920_y019968,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,high,5.2146,91.19,8,17920,19968,512,1.0,,,,152
R25-264-37_x022016_y020480,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.5018,75.19,5,22016,20480,512,1.0,,,,153
R26-122-3_HE_72_x008192_y010240,R26-122-3_HE_72,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,4.2071,84.27,3,8192,10240,512,1.0,,,,154
R25-264-12_x010752_y022016,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,10752,22016,512,1.0,,,,155
R26-122-26_HE_107_x004608_y012288,R26-122-26_HE_107,CCl4,unknown,2026-04-20_CCl4_HE,train,high,6.0819,93.01,4,4608,12288,512,1.0,,,,156
R25-264-34_x022528_y018944,R25-264-34,MASH,unknown,2025-08-25HE,train,high,3.6397,91.13,3,22528,18944,512,1.0,,,,157
R25-264-1_x027648_y021504,R25-264-1,MASH,unknown,2025-08-25HE,train,mid,-1.1976,30.36,1,27648,21504,512,1.0,,,,158
R25-264-37_x007680_y020480,R25-264-37,MASH,unknown,2025-08-25HE,train,high,6.6428,94.88,5,7680,20480,512,1.0,,,,159
R26-122-22_HE_106_x009728_y010752,R26-122-22_HE_106,CCl4,unknown,2026-04-20_CCl4_HE,train,high,8.306,99.47,9,9728,10752,512,1.0,,,,160
R25-264-13_x037376_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,2.9631,70.29,4,37376,18432,512,1.0,,,,161
R25-264-35_x011264_y015360,R25-264-35,MASH,unknown,2025-08-25HE,test,anchor,1.9718,38.67,7,11264,15360,512,1.0,,,,162
R26-122-31_HE_98_x003584_y019456,R26-122-31_HE_98,CCl4,unknown,2026-04-20_CCl4_HE,test,upper,3.7584,84.53,8,3584,19456,512,0.9743,,,,163
R26-122-29_HE_82_x018944_y011264,R26-122-29_HE_82,CCl4,unknown,2026-04-20_CCl4_HE,test,high,7.0934,98.89,4,18944,11264,512,1.0,,,,164
R25-264-36_x029184_y012288,R25-264-36,MASH,unknown,2025-08-25HE,train,high,6.8382,97.2,8,29184,12288,512,1.0,,,,165
R25-264-32_x043008_y010752,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,4.2335,89.73,9,43008,10752,512,0.8981,,,,166
R25-264-33_x015872_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,9.6428,100.0,7,15872,17920,512,0.9945,,,,167
R25-264-34_x038912_y018432,R25-264-34,MASH,unknown,2025-08-25HE,train,mid,1.4796,54.74,2,38912,18432,512,1.0,,,,168
R26-122-36_HE_95_x004096_y013824,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,low,1.187,20.52,2,4096,13824,512,1.0,,,,169
R25-264-31_x023552_y010240,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,3.4545,73.93,3,23552,10240,512,1.0,,,,170
R26-122-29_HE_82_x024064_y016896,R26-122-29_HE_82,CCl4,unknown,2026-04-20_CCl4_HE,test,mid,1.8527,31.11,3,24064,16896,512,1.0,,,,171
R26-122-36_HE_95_x025600_y013824,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,3.0139,58.21,5,25600,13824,512,1.0,,,,172
R26-122-10_HE_79_x009728_y008704,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,4.074,81.02,5,9728,8704,512,1.0,,,,173
R25-264-31_x005120_y019968,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,4.3585,86.2,3,5120,19968,512,1.0,,,,174
R25-264-11_x020992_y010240,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,3.2849,70.65,2,20992,10240,512,1.0,,,,175
R25-264-34_x017408_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,low,,0.0,0,17408,9728,512,1.0,,,,176
R25-264-35_x023552_y025088,R25-264-35,MASH,unknown,2025-08-25HE,test,high,5.5215,93.65,2,23552,25088,512,1.0,,,,177
R25-264-30_x038400_y019968,R25-264-30,MASH,unknown,2025-08-25HE,train,high,4.4122,90.51,1,38400,19968,512,1.0,,,,178
R25-264-35_x016384_y026112,R25-264-35,MASH,unknown,2025-08-25HE,test,anchor,3.3417,67.4,2,16384,26112,512,1.0,,,,179
R25-264-32_x045056_y018944,R25-264-32,MASH,unknown,2025-08-25HE,test,high,6.1111,98.86,4,45056,18944,512,1.0,,,,180
R25-264-12_x011776_y022016,R25-264-12,MASH,unknown,2025-08-25HE,test,high,3.5511,91.77,3,11776,22016,512,1.0,,,,181
R26-122-17_HE_101_x008704_y016896,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,0.1359,8.43,1,8704,16896,512,1.0,,,,182
R25-264-10_x033280_y011776,R25-264-10,MASH,unknown,2025-08-25HE,test,low,,0.0,0,33280,11776,512,1.0,,,,183
