x,y,size,tissue_fraction,score,n_scored_cells,tile_id,frame_tiles,frame_patches,slide,cohort,batch,diet,scored,score_pct,split
25600,20480,512,1.0,-0.7858228604683722,2,R25-264-1_x025600_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,36.9,train
26112,20480,512,1.0,,0,R25-264-1_x026112_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
26624,20480,512,1.0,,0,R25-264-1_x026624_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
27136,20480,512,1.0,,0,R25-264-1_x027136_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
27648,20480,512,1.0,0.5272845629517777,4,R25-264-1_x027648_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,65.48,train
28160,20480,512,1.0,-1.8038442086891917,1,R25-264-1_x028160_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,19.05,train
28672,20480,512,1.0,0.3784139451117543,3,R25-264-1_x028672_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,62.5,train
29184,20480,512,1.0,,0,R25-264-1_x029184_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
29696,20480,512,1.0,-1.6051616785752032,1,R25-264-1_x029696_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,22.02,train
30208,20480,512,1.0,0.9099171065268646,1,R25-264-1_x030208_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,70.83,train
4608,20992,512,0.9339,0.6643954666801316,1,R25-264-1_x004608_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,69.05,train
5120,20992,512,1.0,1.197252773798258,2,R25-264-1_x005120_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,76.79,train
5632,20992,512,1.0,,0,R25-264-1_x005632_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
6144,20992,512,1.0,,0,R25-264-1_x006144_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
6656,20992,512,1.0,2.140172333617377,4,R25-264-1_x006656_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,87.5,train
7168,20992,512,1.0,-0.3630541716819451,1,R25-264-1_x007168_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,45.24,train
7680,20992,512,1.0,0.123002819964381,2,R25-264-1_x007680_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,55.95,train
8192,20992,512,1.0,,0,R25-264-1_x008192_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
8704,20992,512,1.0,,0,R25-264-1_x008704_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
9216,20992,512,1.0,-2.6074998446072737,1,R25-264-1_x009216_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,12.5,train
9728,20992,512,1.0,,0,R25-264-1_x009728_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
10240,20992,512,1.0,,0,R25-264-1_x010240_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
10752,20992,512,1.0,,0,R25-264-1_x010752_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
11264,20992,512,1.0,,0,R25-264-1_x011264_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
11776,20992,512,1.0,,0,R25-264-1_x011776_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
12288,20992,512,1.0,,0,R25-264-1_x012288_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
12800,20992,512,1.0,,0,R25-264-1_x012800_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
13312,20992,512,1.0,,0,R25-264-1_x013312_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
13824,20992,512,1.0,,0,R25-264-1_x013824_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
14336,20992,512,1.0,,0,R25-264-1_x014336_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
14848,20992,512,1.0,,0,R25-264-1_x014848_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
15360,20992,512,1.0,,0,R25-264-1_x015360_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
15872,20992,512,1.0,,0,R25-264-1_x015872_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
16384,20992,512,1.0,,0,R25-264-1_x016384_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
16896,20992,512,1.0,2.191958702324503,3,R25-264-1_x016896_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,88.69,train
17408,20992,512,1.0,,0,R25-264-1_x017408_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
17920,20992,512,1.0,-0.0718633752727182,2,R25-264-1_x017920_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,51.19,train
18432,20992,512,1.0,5.51331679367513,2,R25-264-1_x018432_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,99.4,train
18944,20992,512,1.0,-0.585369626894551,1,R25-264-1_x018944_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,41.67,train
19456,20992,512,1.0,,0,R25-264-1_x019456_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
19968,20992,512,1.0,,0,R25-264-1_x019968_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
20480,20992,512,1.0,2.9386627394505513,1,R25-264-1_x020480_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,94.64,train
20992,20992,512,1.0,1.7666191733965768,1,R25-264-1_x020992_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,83.33,train
21504,20992,512,1.0,,0,R25-264-1_x021504_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
22016,20992,512,1.0,-11.969634745813485,1,R25-264-1_x022016_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.6,train
22528,20992,512,1.0,,0,R25-264-1_x022528_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
23040,20992,512,1.0,,0,R25-264-1_x023040_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
23552,20992,512,1.0,-3.5277172384547355,1,R25-264-1_x023552_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,7.14,train
24064,20992,512,1.0,-1.3130789237284133,3,R25-264-1_x024064_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,27.38,train
24576,20992,512,1.0,,0,R25-264-1_x024576_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
25088,20992,512,1.0,,0,R25-264-1_x025088_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
25600,20992,512,1.0,0.6313267057015841,1,R25-264-1_x025600_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,67.26,train
26112,20992,512,1.0,,0,R25-264-1_x026112_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
26624,20992,512,1.0,-1.770437423320261,1,R25-264-1_x026624_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,20.24,train
27136,20992,512,1.0,,0,R25-264-1_x027136_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
27648,20992,512,1.0,,0,R25-264-1_x027648_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
28160,20992,512,1.0,,0,R25-264-1_x028160_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
28672,20992,512,1.0,2.142693276714955,1,R25-264-1_x028672_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,88.1,train
29184,20992,512,1.0,0.1650876188551962,1,R25-264-1_x029184_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,57.74,train
29696,20992,512,1.0,0.1370720740403239,1,R25-264-1_x029696_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,56.55,train
30208,20992,512,1.0,-0.7255125015187598,1,R25-264-1_x030208_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,37.5,train
30720,20992,512,1.0,2.3942444262679614,2,R25-264-1_x030720_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,89.88,train
31232,20992,512,0.831,1.8227970823340789,1,R25-264-1_x031232_y020992,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,84.52,train
4608,21504,512,0.8714,1.0801056610037156,1,R25-264-1_x004608_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,73.21,train
5120,21504,512,1.0,2.1345073733182183,2,R25-264-1_x005120_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,86.9,train
5632,21504,512,1.0,,0,R25-264-1_x005632_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
6144,21504,512,1.0,,0,R25-264-1_x006144_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
6656,21504,512,1.0,,0,R25-264-1_x006656_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
7168,21504,512,1.0,,0,R25-264-1_x007168_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
7680,21504,512,1.0,,0,R25-264-1_x007680_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
8192,21504,512,1.0,-1.6597568905765676,1,R25-264-1_x008192_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,21.43,train
8704,21504,512,1.0,0.3208890795722839,2,R25-264-1_x008704_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,61.31,train
9216,21504,512,1.0,-1.4540234534155474,1,R25-264-1_x009216_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,22.62,train
9728,21504,512,1.0,,0,R25-264-1_x009728_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
10240,21504,512,1.0,,0,R25-264-1_x010240_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
10752,21504,512,1.0,-1.313713033124415,2,R25-264-1_x010752_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,26.79,train
11264,21504,512,1.0,0.7561479625274912,2,R25-264-1_x011264_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,70.24,train
11776,21504,512,1.0,,0,R25-264-1_x011776_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
12288,21504,512,1.0,,0,R25-264-1_x012288_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
12800,21504,512,1.0,,0,R25-264-1_x012800_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
13312,21504,512,1.0,,0,R25-264-1_x013312_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
13824,21504,512,1.0,,0,R25-264-1_x013824_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
14336,21504,512,1.0,-1.356613475506414,1,R25-264-1_x014336_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,25.0,train
14848,21504,512,1.0,-1.9136653425732828,1,R25-264-1_x014848_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,16.67,train
15360,21504,512,1.0,,0,R25-264-1_x015360_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
15872,21504,512,1.0,0.9954311131687382,1,R25-264-1_x015872_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,71.43,train
16384,21504,512,1.0,,0,R25-264-1_x016384_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
16896,21504,512,1.0,2.433940565173506,1,R25-264-1_x016896_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,90.48,train
17408,21504,512,1.0,-10.054633214001454,1,R25-264-1_x017408_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,1.19,train
17920,21504,512,1.0,,0,R25-264-1_x017920_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
18432,21504,512,1.0,,0,R25-264-1_x018432_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
18944,21504,512,1.0,,0,R25-264-1_x018944_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
19456,21504,512,1.0,-0.2713457781528298,1,R25-264-1_x019456_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,48.21,train
19968,21504,512,1.0,,0,R25-264-1_x019968_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
20480,21504,512,1.0,,0,R25-264-1_x020480_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
20992,21504,512,1.0,,0,R25-264-1_x020992_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
21504,21504,512,1.0,,0,R25-264-1_x021504_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
22016,21504,512,1.0,-0.1535415342314859,1,R25-264-1_x022016_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,48.81,train
22528,21504,512,1.0,,0,R25-264-1_x022528_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
23040,21504,512,1.0,,0,R25-264-1_x023040_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
23552,21504,512,1.0,3.450018366724911,4,R25-264-1_x023552_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,97.62,train
24064,21504,512,1.0,,0,R25-264-1_x024064_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
24576,21504,512,1.0,,0,R25-264-1_x024576_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
25088,21504,512,1.0,,0,R25-264-1_x025088_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
25600,21504,512,1.0,,0,R25-264-1_x025600_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
26112,21504,512,1.0,-1.082983896706428,2,R25-264-1_x026112_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,32.74,train
26624,21504,512,1.0,,0,R25-264-1_x026624_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
27136,21504,512,1.0,,0,R25-264-1_x027136_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
27648,21504,512,1.0,-1.197624801416064,1,R25-264-1_x027648_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,30.36,train
28160,21504,512,1.0,,0,R25-264-1_x028160_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
28672,21504,512,1.0,,0,R25-264-1_x028672_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
29184,21504,512,1.0,2.584408114924033,1,R25-264-1_x029184_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,91.07,train
29696,21504,512,1.0,3.4728289098820344,1,R25-264-1_x029696_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,98.21,train
30208,21504,512,1.0,,0,R25-264-1_x030208_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
30720,21504,512,1.0,0.6524659001886185,2,R25-264-1_x030720_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,68.45,train
31232,21504,512,1.0,-0.1053411218633461,2,R25-264-1_x031232_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,50.0,train
31744,21504,512,0.854,2.2005002228723667,2,R25-264-1_x031744_y021504,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,89.29,train
5120,22016,512,1.0,-1.283411541637812,4,R25-264-1_x005120_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,28.57,train
5632,22016,512,1.0,,0,R25-264-1_x005632_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
6144,22016,512,1.0,,0,R25-264-1_x006144_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
6656,22016,512,1.0,,0,R25-264-1_x006656_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
7168,22016,512,1.0,,0,R25-264-1_x007168_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
7680,22016,512,1.0,1.6246024186977106,1,R25-264-1_x007680_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,81.55,train
8192,22016,512,1.0,0.2989085936646734,1,R25-264-1_x008192_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,60.12,train
8704,22016,512,1.0,0.06997790081101,1,R25-264-1_x008704_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,54.17,train
9216,22016,512,1.0,,0,R25-264-1_x009216_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
9728,22016,512,1.0,0.1664649997888797,1,R25-264-1_x009728_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,58.33,train
10240,22016,512,1.0,,0,R25-264-1_x010240_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
10752,22016,512,1.0,,0,R25-264-1_x010752_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
11264,22016,512,1.0,,0,R25-264-1_x011264_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
11776,22016,512,1.0,,0,R25-264-1_x011776_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
12288,22016,512,1.0,,0,R25-264-1_x012288_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
12800,22016,512,1.0,1.6213576660951556,1,R25-264-1_x012800_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,80.95,train
13312,22016,512,1.0,,0,R25-264-1_x013312_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
13824,22016,512,1.0,1.0310520262574447,1,R25-264-1_x013824_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,72.02,train
14336,22016,512,1.0,,0,R25-264-1_x014336_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
14848,22016,512,1.0,,0,R25-264-1_x014848_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
15360,22016,512,1.0,,0,R25-264-1_x015360_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
15872,22016,512,1.0,,0,R25-264-1_x015872_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
16384,22016,512,1.0,,0,R25-264-1_x016384_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
16896,22016,512,1.0,1.7596248042293148,1,R25-264-1_x016896_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,82.74,train
17408,22016,512,1.0,-6.801219458948852,2,R25-264-1_x017408_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,2.38,train
17920,22016,512,1.0,0.5260762884813065,1,R25-264-1_x017920_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,64.88,train
18432,22016,512,1.0,-1.2928434202155006,1,R25-264-1_x018432_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,27.98,train
18944,22016,512,1.0,,0,R25-264-1_x018944_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
19456,22016,512,1.0,-0.3045680967663027,2,R25-264-1_x019456_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,47.02,train
19968,22016,512,1.0,0.0386443561096869,2,R25-264-1_x019968_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,53.57,train
20480,22016,512,1.0,0.0893882499030938,1,R25-264-1_x020480_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,55.36,train
20992,22016,512,1.0,,0,R25-264-1_x020992_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
21504,22016,512,1.0,,0,R25-264-1_x021504_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
22016,22016,512,1.0,0.3141578938134976,1,R25-264-1_x022016_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,60.71,train
22528,22016,512,1.0,-1.2528047296274978,1,R25-264-1_x022528_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,29.17,train
23040,22016,512,1.0,-2.422586373289929,1,R25-264-1_x023040_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,13.69,train
23552,22016,512,1.0,,0,R25-264-1_x023552_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
24064,22016,512,1.0,,0,R25-264-1_x024064_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
24576,22016,512,1.0,,0,R25-264-1_x024576_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
25088,22016,512,1.0,,0,R25-264-1_x025088_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
25600,22016,512,1.0,,0,R25-264-1_x025600_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
26112,22016,512,1.0,-0.1016642810279431,1,R25-264-1_x026112_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,50.6,train
26624,22016,512,1.0,1.66620553370702,1,R25-264-1_x026624_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,82.14,train
27136,22016,512,1.0,,0,R25-264-1_x027136_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
27648,22016,512,1.0,2.5884313338886833,1,R25-264-1_x027648_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,91.67,train
28160,22016,512,1.0,-0.3120893542084169,1,R25-264-1_x028160_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,46.43,train
28672,22016,512,1.0,-1.4048415087117427,2,R25-264-1_x028672_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,23.81,train
29184,22016,512,1.0,,0,R25-264-1_x029184_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
29696,22016,512,1.0,,0,R25-264-1_x029696_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
30208,22016,512,1.0,,0,R25-264-1_x030208_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
30720,22016,512,1.0,-2.9527157907306174,1,R25-264-1_x030720_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,10.12,train
31232,22016,512,1.0,-0.9603416251007592,1,R25-264-1_x031232_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,34.52,train
31744,22016,512,1.0,,0,R25-264-1_x031744_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
32256,22016,512,0.9311,,0,R25-264-1_x032256_y022016,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
5120,22528,512,1.0,,0,R25-264-1_x005120_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
5632,22528,512,1.0,1.8300745724257963,2,R25-264-1_x005632_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,85.12,train
6144,22528,512,1.0,6.0119430230335835,2,R25-264-1_x006144_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,100.0,train
6656,22528,512,1.0,-0.1520281428569463,2,R25-264-1_x006656_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,49.4,train
7168,22528,512,1.0,,0,R25-264-1_x007168_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
7680,22528,512,1.0,,0,R25-264-1_x007680_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
8192,22528,512,1.0,,0,R25-264-1_x008192_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
8704,22528,512,1.0,,0,R25-264-1_x008704_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
9216,22528,512,1.0,,0,R25-264-1_x009216_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
9728,22528,512,1.0,,0,R25-264-1_x009728_y022528,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
